A	Coef.FGRvsC	Coef.CasevsControl	t.FGRvsC	t.CasevsControl	p.value.FGRvsC	p.value.CasevsControl	p.value.adj.FGRvsC	p.value.adj.CasevsControl	F	F.p.value	Res.FGRvsC	Res.CasevsControl	Genes.probe	Genes.id	Genes.symbol
6.22	0.04	-0.035	0.6	-0.52	0.55673	0.60696	0.779598	0.889897	0.62	0.54372	0	0	7961702	7961702	KCNJ8
6.21	0.281	-0.029	1.6	-0.16	0.12136	0.87192	0.444181	0.969587	1.9	0.16961	0	0	7961710	7961710	ABCC9
5.61	0.015	0.004	0.23	0.06	0.8223	0.95505	0.925909	0.989078	0.03	0.97253	0	0	7961757	7961757	ST8SIA1
7.28	-0.061	-0.04	-0.67	-0.44	0.50777	0.66348	0.748624	0.909129	0.23	0.79387	0	0	7961767	7961767	C2CD5
6.4	0.121	-0.208	1.05	-1.81	0.30449	0.08216	0.604819	0.634801	4.18	0.02698	0	0	7961798	7961798	SOX5
5.65	0.091	0.098	1.41	1.52	0.16941	0.14146	0.494009	0.683847	1.44	0.25606	0	0	7961820	7961820	LINC00477
7.04	-0.152	-0.083	-1.09	-0.59	0.2857	0.55726	0.591137	0.874489	0.6	0.55834	0	0	7961829	7961829	BCAT1
7.43	-0.256	-0.256	-1.57	-1.57	0.12841	0.12843	0.450151	0.673662	1.65	0.21261	0	0	7961865	7961865	KRAS
7.9	-0.086	-0.066	-0.8	-0.61	0.43401	0.545	0.698716	0.872692	0.35	0.71003	0	0	7961887	7961887	NA
5.82	0.045	-0.01	0.45	-0.1	0.65367	0.92197	0.836597	0.980198	0.17	0.84136	0	0	7961889	7961889	NA
7.15	-0.231	-0.336	-2.36	-3.42	0.02659	0.00213	0.322666	0.304652	6.13	0.00675	0	0	7961891	7961891	BHLHE41
8.05	-0.057	-0.156	-0.57	-1.55	0.57408	0.13355	0.789919	0.67568	1.23	0.3093	0	0	7961900	7961900	ITPR2
5.58	-0.013	-0.123	-0.12	-1.11	0.90528	0.2756	0.963545	0.763889	0.75	0.48339	0	0	7961960	7961960	NA
6.55	-0.067	-0.079	-0.91	-1.06	0.37139	0.29752	0.653555	0.774857	0.66	0.52498	0	0	7961964	7961964	INTS13
7.82	0.035	-0.261	0.35	-2.64	0.72938	0.01408	0.879524	0.494883	5.34	0.01167	0	0	7961983	7961983	TM7SF3
6.4	0.045	0.151	0.5	1.67	0.62218	0.10742	0.819574	0.662094	1.47	0.24931	0	0	7961998	7961998	NA
5.81	0.121	0.179	1.17	1.72	0.25363	0.09722	0.567906	0.653894	1.55	0.23257	0	0	7962000	7962000	PTHLH
7.47	-0.318	-0.086	-1.84	-0.5	0.0783	0.6223	0.395436	0.894927	1.8	0.18576	0	0	7962013	7962013	ERGIC2
5.83	0.21	0.131	1.3	0.8	0.20691	0.42877	0.530115	0.82996	0.86	0.4371	0	0	7962058	7962058	TMTC1
6.41	0.111	0.125	1.56	1.75	0.13201	0.09171	0.454331	0.646385	1.85	0.17869	0	0	7962083	7962083	NA
7.6	-0.165	-0.141	-1.45	-1.24	0.15934	0.22635	0.483066	0.737411	1.23	0.30972	0	0	7962085	7962085	IPO8
5.87	0.028	-0.2	0.25	-1.73	0.80772	0.0957	0.919352	0.653037	2.32	0.11875	0	0	7962112	7962112	CAPRIN2
6.69	-0.05	0.092	-0.48	0.89	0.63203	0.38438	0.824813	0.813781	0.97	0.39453	0	0	7962146	7962146	FAM60A
6.34	-0.061	-0.059	-0.79	-0.76	0.43917	0.45392	0.701962	0.836581	0.4	0.67514	0	0	7962151	7962151	DENND5B
6.88	0.002	0.177	0.02	1.74	0.98334	0.09335	0.994077	0.649628	2	0.15579	0	0	7962183	7962183	AK4
6.31	-0.19	-0.186	-1.84	-1.8	0.07708	0.0841	0.394588	0.637277	2.21	0.13037	0	0	7962185	7962185	AMN1
8.68	-0.103	-0.135	-0.85	-1.11	0.40449	0.27715	0.677061	0.763889	0.67	0.51866	0	0	7962194	7962194	H3F3C
6.64	-0.048	-0.054	-0.55	-0.61	0.58973	0.54802	0.800383	0.872889	0.22	0.80061	0	0	7962203	7962203	YARS2
9.04	-0.228	0.045	-1.74	0.34	0.09452	0.73328	0.411444	0.928921	2.49	0.10301	0	0	7962212	7962212	PKP2
5.6	0.067	0.169	0.86	2.18	0.39839	0.03849	0.673356	0.56516	2.42	0.10924	0	0	7962226	7962226	SYT10
5.61	0.105	0.023	1.31	0.29	0.20209	0.77146	0.52572	0.940887	0.94	0.40214	0	0	7962238	7962238	NA
7.55	0.181	0.069	1.84	0.7	0.07821	0.4888	0.395304	0.849029	1.72	0.20014	0	0	7962240	7962240	NA
7.31	-0.029	-0.07	-0.37	-0.89	0.71668	0.38228	0.872966	0.81235	0.4	0.67491	0	0	7962250	7962250	CPNE8
7.49	-0.138	0.108	-1.21	0.95	0.23866	0.35267	0.555805	0.802518	2.33	0.11779	0	0	7962274	7962274	KIF21A
6.43	0.081	0.081	1.16	1.16	0.258	0.25545	0.571382	0.757032	0.9	0.42009	0	0	7962327	7962327	SLC2A13
7.26	-0.233	-0.017	-1.85	-0.14	0.07566	0.89343	0.39289	0.973718	2.13	0.13932	0	0	7962349	7962349	GXYLT1
6.66	-0.096	0.018	-1.17	0.21	0.25212	0.83151	0.566664	0.957732	1.11	0.34367	0	0	7962358	7962358	YAF2
7.71	-0.335	-0.22	-2.31	-1.51	0.02944	0.14279	0.327034	0.686427	2.75	0.08309	0	0	7962367	7962367	ZCRB1
7.01	-0.001	-0.126	-0.01	-1.19	0.99163	0.24568	0.997672	0.749095	0.93	0.40636	0	0	7962375	7962375	PRICKLE1
6.56	-0.129	-0.143	-1.05	-1.16	0.30479	0.25579	0.605103	0.757147	0.82	0.45145	0	0	7962427	7962427	PUS7L
8.22	-0.163	-0.021	-2.48	-0.31	0.02011	0.75636	0.305481	0.937224	3.65	0.04051	0	0	7962441	7962441	TWF1
5.21	-0.072	-0.181	-0.39	-0.99	0.69734	0.32982	0.860694	0.79195	0.5	0.61194	0	0	7962479	7962479	NA
6.55	-0.053	-0.132	-0.57	-1.41	0.57199	0.1695	0.788584	0.709541	1.01	0.37771	0	0	7962489	7962489	PLEKHA8P1
7.45	-0.199	-0.053	-2.59	-0.7	0.01585	0.49282	0.290013	0.850162	3.58	0.0427	0	0	7962499	7962499	SCAF11
10.91	-0.352	-0.091	-3.07	-0.8	0.00512	0.43398	0.270929	0.831117	5.06	0.01419	0	0	7962516	7962516	SLC38A1
11.14	0.037	0.021	0.39	0.22	0.69791	0.82381	0.860993	0.954803	0.08	0.92554	0	0	7962537	7962537	SLC38A2
6.32	0.078	-0.045	0.82	-0.48	0.41795	0.63429	0.686067	0.900921	0.87	0.43074	0	0	7962579	7962579	AMIGO2
5.79	-0.164	-0.184	-1.83	-2.05	0.07866	0.0506	0.395616	0.588308	2.54	0.09881	0	0	7962590	7962590	RPAP3
9.55	-0.198	0.003	-0.95	0.02	0.35271	0.9868	0.641023	0.996463	0.61	0.55202	0	0	7962608	7962608	ENDOU
6.39	-0.012	0.096	-0.13	1.05	0.89739	0.30173	0.960365	0.777329	0.84	0.4418	0	0	7962623	7962623	RAPGEF3
6.98	0.238	0.173	2.47	1.8	0.02046	0.08342	0.305724	0.636465	3.27	0.05451	0	0	7962625	7962625	RAPGEF3
7.66	0.075	0.011	0.84	0.12	0.40906	0.90714	0.68045	0.977031	0.41	0.66594	0	0	7962659	7962659	HDAC7
6.46	0.138	0.297	1.4	3.03	0.1727	0.00563	0.497294	0.396323	4.59	0.01998	0	0	7962689	7962689	VDR
6.87	0.158	0.052	2.54	0.84	0.01742	0.41035	0.298695	0.823567	3.36	0.05068	0	0	7962703	7962703	COL2A1
7.57	-0.124	-0.106	-1.71	-1.46	0.1002	0.15787	0.419859	0.702914	1.7	0.20333	0	0	7962760	7962760	SENP1
7.45	-0.075	-0.084	-1.18	-1.32	0.24891	0.19788	0.56377	0.725442	1.05	0.36338	0	0	7962783	7962783	ASB8
6.36	0.1	-0.077	1.48	-1.14	0.15198	0.26619	0.475275	0.760468	3.44	0.04786	0	0	7962794	7962794	ZNF641
7.57	-0.173	-0.165	-2.26	-2.17	0.03253	0.04002	0.332222	0.570867	3.27	0.05451	0	0	7962811	7962811	KANSL2
8	-0.165	-0.034	-1.66	-0.34	0.1095	0.73316	0.430007	0.928921	1.53	0.23539	0	0	7962831	7962831	CCNT1
7.8	-0.005	-0.079	-0.07	-1.25	0.94332	0.22279	0.979443	0.735829	0.99	0.38728	0	0	7962842	7962842	ADCY6
8.43	-0.141	-0.056	-1.64	-0.65	0.11362	0.51949	0.434123	0.861351	1.36	0.27445	0	0	7962869	7962869	DDX23
5.77	0.159	0.141	1.92	1.7	0.06672	0.10187	0.381786	0.659064	2.2	0.13153	0	0	7962884	7962884	RND1
6.58	-0.022	0.292	-0.11	1.55	0.90944	0.13419	0.96544	0.676131	1.72	0.19873	0	0	7962893	7962893	NA
6.86	0	-0.037	0	-0.53	0.99724	0.60274	0.99962	0.888479	0.18	0.83305	0	0	7962895	7962895	FKBP11
9.25	0.077	-0.014	0.95	-0.17	0.34968	0.86549	0.639026	0.96816	0.73	0.49015	0	0	7962904	7962904	ARF3
6.97	0.215	0.224	3.1	3.25	0.00466	0.0033	0.270929	0.355636	6.73	0.00454	0	0	7962918	7962918	WNT10B
6	0.12	0.054	2.12	0.95	0.04425	0.34962	0.35269	0.801767	2.25	0.12623	0	0	7962930	7962930	DDN
8.53	-0.058	-0.051	-0.57	-0.5	0.57494	0.62281	0.790556	0.895082	0.19	0.82658	0	0	7962935	7962935	PRKAG1
8.11	-0.061	0.007	-0.6	0.07	0.55176	0.94277	0.776634	0.986175	0.28	0.76165	0	0	7962951	7962951	KMT2D
6.23	0.045	0.041	0.76	0.68	0.45597	0.50012	0.713132	0.854841	0.35	0.70883	0	0	7963020	7963020	DHH
7.41	0.156	0.204	2.08	2.72	0.04761	0.01153	0.358407	0.472717	4.06	0.02967	0	0	7963024	7963024	LMBR1L
9.67	0.027	-0.121	0.24	-1.08	0.81536	0.29227	0.922937	0.771611	0.98	0.38999	0	0	7963046	7963046	TUBA1B
5.91	0.053	0.164	0.65	2.01	0.51853	0.05501	0.755294	0.593844	2.11	0.14257	0	0	7963052	7963052	NA
8.86	0.235	-0.037	1.81	-0.29	0.08146	0.77662	0.398249	0.942616	2.6	0.09424	0	0	7963054	7963054	TUBA1A
6.62	0.022	0.06	0.32	0.9	0.75111	0.37905	0.89104	0.810789	0.41	0.66696	0	0	7963061	7963061	C1QL4
7.29	0.113	0.061	1.75	0.94	0.09279	0.3552	0.409429	0.802557	1.53	0.23612	0	0	7963064	7963064	MCRS1
7.2	0.184	0.028	2.03	0.3	0.05299	0.76401	0.364855	0.93927	2.4	0.11125	0	0	7963092	7963092	FMNL3
6.74	0.08	0.115	1.22	1.75	0.23411	0.09299	0.551972	0.648599	1.6	0.22094	0	0	7963121	7963121	NCKAP5L
6	0.061	0.086	0.92	1.3	0.3668	0.20615	0.650778	0.729525	0.89	0.42293	0	0	7963134	7963134	NCKAP5L
6.74	-0.114	-0.052	-0.71	-0.32	0.48489	0.75032	0.732582	0.935114	0.25	0.7792	0	0	7963137	7963137	NA
6.21	0.064	-0.015	1.09	-0.25	0.28615	0.80666	0.591181	0.948551	1.01	0.37776	0	0	7963139	7963139	BCDIN3D
6.26	0.12	0.096	1.71	1.38	0.09907	0.18029	0.417776	0.717062	1.65	0.21251	0	0	7963142	7963142	FAIM2
7.09	0.01	-0.007	0.09	-0.07	0.93053	0.94788	0.974167	0.987353	0.01	0.98813	0	0	7963157	7963157	RACGAP1
7.92	0	0.041	0	0.48	0.99691	0.63194	0.99962	0.899714	0.16	0.85682	0	0	7963174	7963174	CERS5
8.62	-0.267	-0.095	-2.16	-0.78	0.04008	0.44538	0.346135	0.832678	2.41	0.11061	0	0	7963187	7963187	LIMA1
7.88	0.051	0.215	0.46	1.92	0.65294	0.06576	0.836103	0.614802	2.02	0.15338	0	0	7963212	7963212	SLC11A2
7.59	0.049	-0.02	0.67	-0.27	0.50768	0.78891	0.748624	0.945015	0.47	0.62969	0	0	7963235	7963235	CSRNP2
8.09	-0.235	-0.255	-2.65	-2.88	0.01367	0.008	0.289017	0.437894	5.12	0.01356	0	0	7963244	7963244	TFCP2
6.91	-0.081	-0.248	-0.68	-2.08	0.49985	0.04769	0.74259	0.577774	2.25	0.12606	0	0	7963261	7963261	PHBP19
5.47	-0.143	-0.157	-0.91	-1	0.37163	0.32638	0.653555	0.790175	0.61	0.54986	0	0	7963263	7963263	NA
6.97	0.091	-0.029	1.59	-0.5	0.12335	0.62141	0.444843	0.894396	2.39	0.11184	0	0	7963265	7963265	POU6F1
9.47	-0.263	-0.278	-1.6	-1.69	0.1217	0.10323	0.444411	0.659064	1.81	0.18421	0	0	7963280	7963280	SMAGP
6.61	0.21	0.332	1.22	1.92	0.23483	0.06562	0.552801	0.614802	1.9	0.17104	0	0	7963289	7963289	BIN2
6.17	-0.04	0.071	-0.49	0.87	0.62858	0.39163	0.822601	0.815301	0.95	0.3998	0	0	7963304	7963304	CELA1
7.19	-0.087	0.011	-0.48	0.06	0.63619	0.95066	0.82715	0.988257	0.18	0.84013	0	0	7963313	7963313	GALNT6
5.89	0.014	0.036	0.17	0.45	0.86287	0.65577	0.945269	0.907083	0.1	0.90208	0	0	7963328	7963328	FIGNL2
6.89	-0.127	-0.116	-1.88	-1.71	0.07195	0.09886	0.389303	0.654529	2.16	0.13573	0	0	7963333	7963333	KRT80
6.02	0.095	0.049	0.99	0.51	0.33365	0.61695	0.628238	0.892174	0.49	0.62078	0	0	7963348	7963348	KRT87P
6.85	0.097	0.226	0.65	1.51	0.52312	0.14468	0.757603	0.688751	1.14	0.33568	0	0	7963353	7963353	KRT81
6.21	0.148	0.083	1.8	1.01	0.08339	0.32227	0.399195	0.787601	1.63	0.21538	0	0	7963359	7963359	KRT83
5.73	0.127	0.023	1.57	0.28	0.12845	0.78277	0.450181	0.9435	1.41	0.26349	0	0	7963366	7963366	KRT85
6.24	0.011	0.074	0.15	0.99	0.88166	0.3331	0.954036	0.793346	0.57	0.5752	0	0	7963375	7963375	KRT84
5.93	0.118	0.117	1.89	1.88	0.07018	0.07226	0.386984	0.621206	2.36	0.11444	0	0	7963386	7963386	KRT82
6.48	-0.304	-0.044	-3.05	-0.44	0.00532	0.66591	0.270929	0.909871	5.44	0.01086	0	0	7963406	7963406	KRT6B
7.39	-0.016	0.153	-0.07	0.7	0.94298	0.4905	0.979231	0.849182	0.36	0.69876	0	0	7963410	7963410	NA
6.36	0.04	0.276	0.16	1.1	0.87475	0.28189	0.95112	0.766663	0.71	0.503	0	0	7963421	7963421	KRT6A
5.94	0.03	0.016	0.33	0.18	0.74711	0.85951	0.888666	0.966062	0.05	0.9482	0	0	7963427	7963427	KRT5
6.38	0.102	0.015	1.69	0.25	0.10277	0.80225	0.421845	0.946653	1.67	0.20879	0	0	7963438	7963438	KRT71
5.8	0.04	-0.105	0.53	-1.39	0.60232	0.17554	0.807356	0.714652	1.97	0.16018	0	0	7963448	7963448	KRT74
5.66	0.105	0.089	1.97	1.66	0.0601	0.10998	0.373423	0.66382	2.24	0.12734	0	0	7963459	7963459	KRT72
5.99	-0.009	0.052	-0.14	0.85	0.88666	0.40599	0.955665	0.820658	0.57	0.57205	0	0	7963502	7963502	KRT77
5.48	0.123	0.114	1.71	1.6	0.09891	0.12242	0.417746	0.669047	1.83	0.18037	0	0	7963513	7963513	KRT76
6.13	0.148	0.097	1.92	1.26	0.06617	0.21808	0.381786	0.734006	1.91	0.16958	0	0	7963523	7963523	KRT3
6.16	0.001	-0.034	0.02	-0.56	0.98557	0.57865	0.994904	0.881116	0.22	0.80554	0	0	7963534	7963534	KRT4
6.21	0.173	0.126	2.51	1.83	0.01886	0.0784	0.30537	0.629514	3.37	0.05033	0	0	7963545	7963545	KRT79
5.73	0.121	0.142	1.76	2.06	0.09051	0.05002	0.407983	0.585513	2.47	0.1044	0	0	7963555	7963555	KRT78
12	-0.25	-0.071	-1.77	-0.5	0.08841	0.61921	0.406345	0.893264	1.67	0.20867	0	0	7963567	7963567	KRT8
5.85	-0.115	0.279	-0.9	2.19	0.37789	0.03832	0.658936	0.56516	5.03	0.0145	0	0	7963575	7963575	NA
7.35	0.185	0.071	1.76	0.68	0.08974	0.50438	0.407104	0.856953	1.58	0.22472	0	0	7963577	7963577	SPRYD3
7.37	0.025	-0.076	0.18	-0.54	0.86213	0.59066	0.94517	0.886113	0.28	0.75652	0	0	7963590	7963590	CSAD
6.1	0.204	0.086	2.05	0.86	0.05063	0.39606	0.361649	0.817091	2.12	0.14043	0	0	7963614	7963614	ITGB7
6.36	0.019	-0.04	0.32	-0.65	0.75244	0.52014	0.89157	0.861388	0.49	0.6183	0	0	7963631	7963631	RARG
8.24	-0.004	0.05	-0.05	0.66	0.96301	0.5147	0.987324	0.8603	0.31	0.73388	0	0	7963646	7963646	AAAS
6.8	-0.059	0.055	-0.85	0.8	0.40249	0.43374	0.675735	0.831117	1.36	0.27561	0	0	7963664	7963664	SP7
6.64	0.1	-0.001	1.29	-0.01	0.20791	0.9918	0.531304	0.997939	1.12	0.34115	0	0	7963670	7963670	MAP3K12
6.08	-0.03	-0.031	-0.28	-0.28	0.78508	0.78019	0.909408	0.943486	0.05	0.94956	0	0	7963689	7963689	NPFF
5.85	0.016	-0.033	0.16	-0.33	0.8721	0.74398	0.949587	0.933442	0.13	0.88206	0	0	7963696	7963696	NA
7.76	-0.058	-0.064	-0.77	-0.84	0.44938	0.40821	0.709008	0.821956	0.43	0.65243	0	0	7963698	7963698	ATF7
8.36	0.058	0.053	0.69	0.64	0.49343	0.52878	0.73804	0.866179	0.3	0.74487	0	0	7963713	7963713	ATP5G2
8.86	0.033	-0.018	0.28	-0.15	0.78018	0.88032	0.905901	0.971326	0.1	0.90783	0	0	7963721	7963721	CALCOCO1
7.05	0.12	0.052	1.33	0.57	0.19647	0.57238	0.519326	0.878455	0.89	0.42487	0	0	7963741	7963741	SMUG1
8.59	-0.334	-0.274	-3.14	-2.58	0.00428	0.01612	0.267178	0.502618	5.61	0.00967	0	0	7963750	7963750	CBX5
6.16	0.159	0.122	2.13	1.64	0.04339	0.11358	0.35269	0.664734	2.48	0.10369	0	0	7963760	7963760	NFE2
5.79	0.259	0.126	1.94	0.95	0.06306	0.35193	0.377566	0.802258	1.89	0.1717	0	0	7963770	7963770	GPR84
8.14	0.002	0.028	0.03	0.41	0.97838	0.68269	0.992893	0.916185	0.11	0.89896	0	0	7963774	7963774	ZNF385A
10.25	0.148	0.539	0.83	3.02	0.41563	0.0057	0.684634	0.396323	4.87	0.01621	0	0	7963786	7963786	ITGA5
6.86	-0.097	0.079	-0.4	0.32	0.69242	0.74816	0.856916	0.934169	0.26	0.77039	0	0	7963817	7963817	GTSF1
6.33	0.1	0.105	1.6	1.68	0.12219	0.10533	0.444411	0.659064	1.8	0.18664	0	0	7963826	7963826	PPP1R1A
5.47	0.254	0.105	2.88	1.19	0.00805	0.24402	0.275137	0.748054	4.18	0.02705	0	0	7963837	7963837	LACRT
5.62	0.013	0.056	0.18	0.77	0.8623	0.44611	0.94517	0.832936	0.33	0.72236	0	0	7963845	7963845	DCD
7.91	0.001	-0.005	0.01	-0.04	0.99388	0.96958	0.998389	0.992455	0	0.99877	0	0	7963869	7963869	PHC1
5.94	0.086	0.045	1.33	0.69	0.1949	0.49478	0.517927	0.851134	0.89	0.42434	0	0	7963880	7963880	ITGA7
11.09	0.075	0.258	0.66	2.26	0.51822	0.03284	0.755219	0.550409	2.7	0.08667	0	0	7963911	7963911	CD63
6.72	-0.124	-0.017	-1.3	-0.17	0.20457	0.86364	0.5281	0.967362	1	0.38197	0	0	7963923	7963923	SARNP
7.73	-0.041	0.02	-0.46	0.22	0.64777	0.82623	0.833062	0.955856	0.24	0.78553	0	0	7963935	7963935	DNAJC14
7.07	0.177	0.091	1.19	0.61	0.24371	0.5465	0.559081	0.872889	0.71	0.5	0	0	7963946	7963946	MMP19
7.21	0.048	0.087	0.7	1.27	0.4909	0.21425	0.736453	0.732219	0.81	0.4543	0	0	7963965	7963965	PYM1
5.95	0.029	0.066	0.31	0.71	0.75964	0.48389	0.895238	0.848137	0.25	0.77778	0	0	7963970	7963970	PMEL
7.03	-0.049	-0.065	-0.57	-0.76	0.5736	0.45539	0.789873	0.836791	0.31	0.73496	0	0	7963986	7963986	RAB13
8.55	-0.003	-0.054	-0.03	-0.58	0.97366	0.56858	0.991535	0.877633	0.21	0.81168	0	0	7963988	7963988	SMARCC2
6.98	0.016	0.029	0.22	0.4	0.82784	0.68891	0.929098	0.917876	0.08	0.92133	0	0	7964021	7964021	RNF41
7.45	-0.074	-0.056	-1.05	-0.8	0.3017	0.43373	0.602665	0.831117	0.6	0.55441	0	0	7964033	7964033	ANKRD52
8.69	-0.02	-0.031	-0.34	-0.53	0.73999	0.60227	0.884859	0.888479	0.14	0.86772	0	0	7964064	7964064	CS
7.97	-0.005	0.1	-0.05	0.9	0.9616	0.37616	0.986536	0.810672	0.57	0.57163	0	0	7964076	7964076	NA
7.91	0.088	-0.004	0.81	-0.03	0.42564	0.97453	0.692122	0.993076	0.46	0.63939	0	0	7964089	7964089	PAN2
8.03	0.248	0.137	2.26	1.25	0.03246	0.22265	0.332052	0.735829	2.57	0.09636	0	0	7964119	7964119	STAT2
6.63	-0.064	-0.003	-0.74	-0.04	0.46909	0.97049	0.720926	0.992608	0.34	0.71303	0	0	7964145	7964145	TIMELESS
5.67	-0.025	-0.016	-0.34	-0.22	0.73735	0.82982	0.883896	0.956962	0.06	0.94283	0	0	7964177	7964177	MIP
5.78	0.161	0.046	2.15	0.61	0.04171	0.55	0.350826	0.87299	2.45	0.10682	0	0	7964183	7964183	GLS2
8.86	-0.067	-0.016	-0.93	-0.22	0.36025	0.82707	0.646375	0.955898	0.47	0.6278	0	0	7964203	7964203	BAZ2A
11.1	-0.065	-0.124	-0.65	-1.25	0.51841	0.22269	0.755236	0.735829	0.78	0.46822	0	0	7964234	7964234	ATP5B
5.99	-0.263	-0.032	-1.76	-0.22	0.09074	0.83092	0.408309	0.957549	1.84	0.17947	0	0	7964246	7964246	SNORD59B
9.03	-0.157	-0.047	-1.2	-0.36	0.24275	0.7244	0.558497	0.926378	0.75	0.48065	0	0	7964250	7964250	PTGES3
5.88	0.051	0.051	0.65	0.65	0.52005	0.52378	0.755558	0.863008	0.28	0.75721	0	0	7964260	7964260	NA
9.95	-0.239	0.032	-2.57	0.34	0.01659	0.73522	0.293948	0.929846	5.05	0.01426	0	0	7964262	7964262	NACA
6.57	0.04	0	0.49	0	0.62685	0.99724	0.821922	0.998912	0.16	0.85271	0	0	7964271	7964271	PRIM1
5.85	0.117	0.007	1.78	0.11	0.08663	0.91407	0.403003	0.979076	2	0.15654	0	0	7964285	7964285	SDR9C7
5.72	0.224	0.085	2.95	1.11	0.00676	0.27564	0.275137	0.763889	4.44	0.02228	0	0	7964292	7964292	RDH16
7.12	0.013	-0.012	0.23	-0.22	0.81914	0.83078	0.924613	0.957467	0.1	0.90526	0	0	7964300	7964300	ZBTB39
7.43	-0.371	-0.16	-0.6	-0.26	0.55197	0.79782	0.776758	0.946229	0.18	0.83392	0	0	7964303	7964303	TAC3
8.21	-0.238	0.017	-2.24	0.16	0.03386	0.87382	0.33623	0.969922	3.61	0.04168	0	0	7964347	7964347	NEMP1
8.03	0.247	0.143	2.53	1.46	0.01818	0.15647	0.301405	0.702756	3.22	0.05698	0	0	7964360	7964360	STAT6
7.26	-0.006	-0.099	-0.08	-1.3	0.93625	0.20387	0.976772	0.728844	1.07	0.3586	0	0	7964388	7964388	NDUFA4L2
5.85	0.023	0.023	0.3	0.31	0.76402	0.75836	0.896589	0.937672	0.06	0.93913	0	0	7964400	7964400	NA
7.66	-0.011	-0.026	-0.12	-0.3	0.90194	0.76684	0.961911	0.940029	0.05	0.95574	0	0	7964413	7964413	R3HDM2
6.01	0.128	0.066	1.72	0.88	0.09742	0.38638	0.416672	0.814486	1.48	0.24633	0	0	7964436	7964436	ARHGAP9
7.1	-0.112	-0.213	-1.35	-2.58	0.18818	0.01626	0.513628	0.502618	3.32	0.05253	0	0	7964460	7964460	DDIT3
7.91	-0.035	0.017	-0.4	0.2	0.69528	0.84543	0.859214	0.961851	0.18	0.83424	0	0	7964466	7964466	DCTN2
5.67	0.112	0.017	1.69	0.25	0.1036	0.80211	0.422847	0.946653	1.66	0.21048	0	0	7964484	7964484	B4GALNT1
6.33	0.146	-0.002	1.93	-0.03	0.06545	0.9788	0.381727	0.994131	2.51	0.10154	0	0	7964499	7964499	AGAP2
7.87	0.072	-0.02	0.6	-0.16	0.55639	0.87136	0.77951	0.969478	0.32	0.72922	0	0	7964522	7964522	CDK4
5.97	0.112	0.122	1.6	1.75	0.12304	0.09252	0.444716	0.646761	1.88	0.17401	0	0	7964535	7964535	CYP27B1
5.91	-0.027	-0.123	-0.32	-1.5	0.7487	0.14689	0.889101	0.691653	1.24	0.30641	0	0	7964548	7964548	METTL1
6.75	-0.073	-0.193	-0.65	-1.72	0.52404	0.09784	0.758154	0.654529	1.51	0.24063	0	0	7964555	7964555	AVIL
6.31	-0.257	-0.116	-1.58	-0.71	0.12763	0.48143	0.44988	0.847935	1.24	0.30519	0	0	7964575	7964575	AVIL
5.67	-0.197	-0.159	-1.95	-1.57	0.06219	0.1277	0.377477	0.672474	2.14	0.1381	0	0	7964577	7964577	NA
9.68	-0.15	-0.101	-2.12	-1.44	0.04402	0.16317	0.35269	0.705542	2.34	0.11675	0	0	7964579	7964579	CTDSP2
5.42	0.182	0.291	1.52	2.43	0.14035	0.02241	0.463827	0.515658	3.02	0.06663	0	0	7964596	7964596	NA
6.95	-0.049	-0.252	-0.35	-1.79	0.73113	0.08595	0.880533	0.640558	1.8	0.18662	0	0	7964602	7964602	LRIG3
5.95	0.369	0.297	3.32	2.67	0.00274	0.01308	0.265078	0.494883	6.19	0.00648	0	0	7964631	7964631	FAM19A2
6.13	0.159	0.044	2.48	0.69	0.02007	0.49863	0.305481	0.853663	3.28	0.05397	0	0	7964642	7964642	LINC01465
7.2	-0.197	-0.135	-1.77	-1.21	0.08891	0.23684	0.406345	0.745859	1.64	0.21462	0	0	7964646	7964646	PPM1H
5.92	0.026	-0.057	0.25	-0.54	0.80298	0.5941	0.917704	0.887331	0.33	0.72386	0	0	7964658	7964658	NA
5.46	-0.159	-0.238	-1.1	-1.64	0.28178	0.11249	0.588817	0.664208	1.4	0.26428	0	0	7964665	7964665	DPY19L2
5.63	-0.008	0.038	-0.11	0.54	0.91325	0.59168	0.967082	0.886351	0.24	0.78476	0	0	7964675	7964675	NA
5.93	0.018	0.023	0.33	0.43	0.74667	0.67125	0.888469	0.91228	0.1	0.9047	0	0	7964677	7964677	C12orf66
9.73	-0.136	-0.027	-0.95	-0.19	0.34995	0.85302	0.639026	0.964292	0.51	0.60704	0	0	7964701	7964701	GNS
6.06	0.057	0.172	0.65	1.94	0.52261	0.06351	0.757244	0.607981	1.95	0.16272	0	0	7964718	7964718	NA
5.56	-0.108	-0.08	-1.1	-0.82	0.28303	0.42269	0.589678	0.829555	0.65	0.53108	0	0	7964736	7964736	LOC100129940
7.42	0.094	0.055	1.25	0.74	0.22279	0.4689	0.542734	0.84292	0.79	0.46507	0	0	7964739	7964739	LLPH
8.08	-0.2	-0.11	-2.06	-1.13	0.04974	0.26947	0.360524	0.762065	2.13	0.13966	0	0	7964745	7964745	TMBIM4
8.04	-0.286	0.068	-1.84	0.44	0.07802	0.66673	0.395304	0.910378	2.91	0.07292	0	0	7964757	7964757	NA
