A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.Symbol	Genes.ID	Genes.Probe	Genes.ENTREZID	Genes.GENENAME	Genes.ALIAS
7.83	-0.353	-1.8	0.0788	0.245147	3.23	0.0788	0	NA	170591	hCT1687180.2,hCT19725.3	NA	NA	NA
16.84	0.621	4.47	5e-05	0.001856	19.96	5e-05	1	ITGA6	132194	hCT1687205.4,hCT1965781.1,hCT10236.3	3655	integrin subunit alpha 6	CD49f, ITGA6B, VLA-6, ITGA6
7.79	0.215	1.09	0.27982	0.516705	1.2	0.27982	0	NA	208380	hCT1687516.1	NA	NA	NA
12.11	0.517	3.4	0.0014	0.017788	11.59	0.0014	1	MCM6	185612	hCT16880.3	4175	minichromosome maintenance complex component 6	MCG40308, Mis5, P105MCM, MCM6
14.11	0.62	3.41	0.00137	0.017506	11.64	0.00137	1	CXCR4	191821	hCT16881.1	7852	C-X-C motif chemokine receptor 4	CD184, D2S201E, FB22, HM89, HSY3RR, LAP-3, LAP3, LCR1, LESTR, NPY3R, NPYR, NPYRL, NPYY3R, WHIM, WHIMS, CXCR4
11.62	0.101	0.7	0.4862	0.70003	0.49	0.4862	0	R3HDM	173970	hCT16884.2	NA	NA	NA
15.54	-0.047	-0.33	0.74364	0.873408	0.11	0.74364	0	NA	170047	hCT16891.2	NA	NA	NA
10.96	-0.556	-3.22	0.0024	0.02548	10.35	0.0024	-1	MDK	111257	hCT16892.4	4192	midkine (neurite growth-promoting factor 2)	ARAP, MK, NEGF2, MDK
13.62	-0.553	-4.12	0.00016	0.003942	17.01	0.00016	-1	CRY2	116672	hCT16897.2,hCT2268665	1408	cryptochrome circadian clock 2	HCRY2, PHLL2, CRY2
8.22	0.009	0.03	0.97418	0.988949	0	0.97418	0	NA	703195	hCT16900.5	NA	NA	NA
7.26	-0.118	-0.58	0.56213	0.757532	0.34	0.56213	0	NA	122565	hCT1690009.2	NA	NA	NA
7.88	0.084	0.36	0.72363	0.8619	0.13	0.72363	0	NA	143822	hCT1690011.2	NA	NA	NA
7.41	0.149	0.79	0.43409	0.658755	0.62	0.43409	0	NA	232877	hCT1690016.2	NA	NA	NA
8.59	1.427	5.38	0	0.000237	28.98	0	1	NA	205919	hCT1690037.1,hCT2336684	NA	NA	NA
7.54	-0.08	-0.25	0.80031	0.904676	0.06	0.80031	0	NA	419966	hCT1690038.1	NA	NA	NA
8.76	-0.805	-3.58	0.00083	0.012473	12.84	0.00083	-1	CREB3L1	153421	hCT16902.2	90993	cAMP responsive element binding protein 3 like 1	OASIS, CREB3L1
13.26	-0.059	-0.31	0.75756	0.881333	0.1	0.75756	0	NA	190338	hCT1690220.2	NA	NA	NA
7.9	-0.241	-0.88	0.386	0.617583	0.77	0.386	0	NA	165161	hCT1690233.2	NA	NA	NA
7.72	0.009	0.06	0.95199	0.979359	0	0.95199	0	NA	229345	hCT1690248.3	NA	NA	NA
8.21	0.377	1.94	0.05862	0.204009	3.76	0.05862	0	NA	107676	hCT1690249.4	NA	NA	NA
7.43	0.056	0.28	0.77748	0.892599	0.08	0.77748	0	NA	236932	hCT1690256.3	NA	NA	NA
13.93	0.169	1.2	0.23803	0.472109	1.43	0.23803	0	ITGB1BP1	202781	hCT1690257.3,hCT2343705,hCT2343706,hCT2276418.1,hCT1964080.2,hCT2358509,hCT2343704,hCT2358508,hCT1964081.2	9270	integrin subunit beta 1 binding protein 1	ICAP-1A, ICAP-1B, ICAP-1alpha, ICAP1, ICAP1A, ICAP1B, ITGB1BP1
11.71	0.077	0.63	0.53387	0.737239	0.39	0.53387	0	INSIG2	132554	hCT1690260.3,hCT1957839.1	51141	insulin induced gene 2	INSIG-2, INSIG2
15.93	-0.41	-3.83	0.00039	0.007304	14.71	0.00039	-1	BNIP3L	144168	hCT1690263.3	665	BCL2 interacting protein 3 like	BNIP3a, NIX, BNIP3L
16.55	0.179	0.83	0.40858	0.6369	0.7	0.40858	0	NA	105293	hCT1690266.1,hCT2356128,hCT2345021,hCT2356127,hCT2345022,hCT2356129,hCT2345023,hCT2345024,hCT1690265.4,hCT2345025,hCT2345027,hCT2345026	NA	NA	NA
15.37	0.2	1.13	0.26468	0.501158	1.28	0.26468	0	ORF1-FL49	206002	hCT1690270.1	NA	NA	NA
14.43	0.116	1.17	0.24711	0.481901	1.37	0.24711	0	EXOSC1	103415	hCT16904.3	51013	exosome component 1	CGI-108, CSL4, Csl4p, SKI4, Ski4p, p13, EXOSC1
9.52	0.148	0.69	0.49549	0.707344	0.47	0.49549	0	NA	154045	hCT16909.3,hCT2322118,hCT2352309,hCT2352310	NA	NA	NA
13.81	0.257	1.65	0.10611	0.293962	2.72	0.10611	0	STAT1	200004	hCT16921.3,hCT2290309,hCT1971093.1,hCT2290312,hCT2290311	6772	signal transducer and activator of transcription 1	CANDF7, IMD31A, IMD31B, IMD31C, ISGF-3, STAT91, STAT1
13.15	0.347	2.11	0.04015	0.161277	4.47	0.04015	0	NAB1	131543	hCT16923.3,hCT1961926.1,hCT2299282,hCT2299283	4664	NGFI-A binding protein 1	NAB1
7.9	-0.355	-1.54	0.13124	0.332801	2.36	0.13124	0	LAG3	173056	hCT17059.2	3902	lymphocyte activating 3	CD223, LAG3
13.73	-0.369	-2.18	0.03431	0.145868	4.76	0.03431	0	PTMS	155205	hCT17060.2	5763	parathymosin	ParaT, PTMS
12.73	-0.078	-0.77	0.44686	0.669728	0.59	0.44686	0	GNB3	180135	hCT17063.3	2784	G protein subunit beta 3	CSNB1H, GNB3
16.26	-0.551	-5.22	0	0.000345	27.22	0	-1	TPI1	147521	hCT17064.4,hCT1967430.1	7167	triosephosphate isomerase 1	HEL-S-49, TIM, TPI, TPID, TPI1
12.57	-0.423	-4.27	1e-04	0.002904	18.21	1e-04	-1	REA	177753	hCT17067.3	NA	NA	NA
9.4	0.496	2.59	0.0129	0.077443	6.7	0.0129	0	C1RL	159909	hCT17073.2,hCT2286919	51279	complement C1r subcomponent like	C1RL1, C1RLP, C1r-LP, CLSPa, C1RL
7.58	0.142	0.62	0.54076	0.742112	0.38	0.54076	0	NA	195299	hCT17075.2	NA	NA	NA
8.77	-0.386	-1.6	0.11587	0.309373	2.57	0.11587	0	CD4	211331	hCT17077.3,hCT2288501	920	CD4 molecule	CD4mut, CD4
9.71	0.904	4.59	4e-05	0.001448	21.04	4e-05	1	GRCC9	178243	hCT17085.3,hCT2286940	NA	NA	NA
14.24	-0.142	-1.16	0.25225	0.487188	1.34	0.25225	0	DRPLA	192804	hCT17086.2,hCT2288464,hCT2288462	NA	NA	NA
8.58	-0.428	-2.34	0.0238	0.115336	5.47	0.0238	0	CDSN	143792	hCT17123.2	1041	corneodesmosin	HTSS, HTSS1, HYPT2, PSS, PSS1, S, CDSN
12.52	0.168	2.08	0.04297	0.168358	4.34	0.04297	0	C6orf15	110475	hCT17124.1	29113	chromosome 6 open reading frame 15	STG, C6orf15
10.37	-0.291	-2.12	0.03928	0.159023	4.51	0.03928	0	PSORS1C2	195332	hCT17125.2	170680	psoriasis susceptibility 1 candidate 2	C6orf17, SPR1, PSORS1C2
9.33	-0.055	-0.31	0.76086	0.883496	0.09	0.76086	0	TCF19	147040	hCT17126.3,hCT2285557.1,hCT2285558.1	6941	transcription factor 19	SC1, TCF-19, TCF19
7.99	-0.635	-2.64	0.01141	0.071562	6.96	0.01141	0	POU5F1	157769	hCT17127.3	5460	POU class 5 homeobox 1	OCT3, OCT4, OTF-3, OTF3, OTF4, Oct-3, Oct-4, POU5F1
12.43	-0.323	-3.28	0.002	0.022689	10.77	0.002	-1	MDC1	183568	hCT17129.2	9656	mediator of DNA damage checkpoint 1	NFBD1, MDC1
11.05	-0.526	-4	0.00023	0.00514	15.99	0.00023	-1	GTF2H4	134230	hCT17133.3	2968	general transcription factor IIH subunit 4	P52, TFB2, TFIIH, GTF2H4
12.74	-0.583	-4.47	5e-05	0.001838	20.01	5e-05	-1	PPP1R10	111838	hCT17134.3	5514	protein phosphatase 1 regulatory subunit 10	CAT53, FB19, PNUTS, PP1R10, R111, p99, PPP1R10
11.38	-0.181	-1.5	0.14148	0.348229	2.24	0.14148	0	PRR3	162095	hCT17143.3	80742	proline rich 3	CAT56, PRR3
14.91	-1.023	-4.16	0.00014	0.003635	17.31	0.00014	-1	TUBB	128076	hCT17144.2	203068	tubulin beta class I	CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5, TUBB
7.56	0.217	1.1	0.2778	0.514994	1.21	0.2778	0	C10orf72	135689	hCT17154.4,hCT2344946	NA	NA	NA
15.25	-0.249	-2.27	0.0279	0.127978	5.16	0.0279	0	PTD008	136112	hCT172973.2,hCT2356598	NA	NA	NA
12.65	-0.3	-2.07	0.04383	0.170519	4.3	0.04383	0	DHPS	203523	hCT172974.2,hCT2286974,hCT2286962,hCT1967981.1,hCT2286971,hCT2286964,hCT2286976,hCT172975.2	1725	deoxyhypusine synthase	DHS, DS, MIG13, DHPS
12.82	-0.015	-0.13	0.89768	0.952713	0.02	0.89768	0	ASNA1	121011	hCT172977.3	439	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	ARSA-I, ARSA1, ASNA-I, GET3, TRC40, ASNA1
12.19	-1.051	-2.31	0.02565	0.121341	5.33	0.02565	0	JUNB	148696	hCT172978.3	3726	JunB proto-oncogene, AP-1 transcription factor subunit	AP-1, JUNB
13.49	0.054	0.45	0.65677	0.822541	0.2	0.65677	0	RAD23A	210243	hCT172981.3,hCT2284735	5886	RAD23 homolog A, nucleotide excision repair protein	HHR23A, HR23A, RAD23A
12.81	0.008	0.08	0.9398	0.97356	0.01	0.9398	0	FARSLA	105334	hCT172982.2,hCT2286910	NA	NA	NA
11.17	0.072	0.56	0.57544	0.766976	0.32	0.57544	0	RNASEH2A	101370	hCT172986.2	10535	ribonuclease H2 subunit A	AGS4, JUNB, RNASEHI, RNHIA, RNHL, RNASEH2A
11.63	0.145	0.98	0.33271	0.56996	0.96	0.33271	0	ZNF433	128722	hCT172988.3,hCT2341057,hCT2341058,hCT2341059	163059	zinc finger protein 433	ZNF433
12.22	0.391	3.45	0.00122	0.016176	11.92	0.00122	1	FLJ90396	137101	hCT172991.3	NA	NA	NA
8.49	-0.361	-2.25	0.02936	0.132472	5.06	0.02936	0	KLF1	108862	hCT172992.1	10661	Kruppel like factor 1	EKLF, KLF1
9.34	0.004	0.01	0.98884	0.995368	0	0.98884	0	FBXW9	195541	hCT172994.2,hCT2286957,hCT1966804.1	84261	F-box and WD repeat domain containing 9	Fbw9, FBXW9
14.6	-0.648	-7.09	0	4e-06	50.31	0	-1	MGC2803	131694	hCT172995.1	NA	NA	NA
13.33	0.119	1.13	0.26414	0.500614	1.28	0.26414	0	GADD45GIP1	135387	hCT172998.2	90480	GADD45G interacting protein 1	CKBBP2, CKbetaBP2, CRIF1, MRP-L59, PLINP, PLINP-1, PRG6, Plinp1, GADD45GIP1
17.54	-0.231	-2.61	0.01231	0.075197	6.8	0.01231	0	NA	129291	hCT172999.2	NA	NA	NA
8.44	0.001	0	0.99702	0.998596	0	0.99702	0	NA	110078	hCT173000.2	NA	NA	NA
7.65	-0.022	-0.11	0.91109	0.959523	0.01	0.91109	0	USP29	146773	hCT1750474.2	57663	ubiquitin specific peptidase 29	HOM-TES-84/86, USP29
17.05	-0.266	-1.86	0.06906	0.225832	3.47	0.06906	0	FTHL16	117284	hCT17588.2	NA	NA	NA
12.82	-0.412	-2.18	0.03487	0.147215	4.73	0.03487	0	PME-1	122019	hCT17598.3	NA	NA	NA
7.75	0.043	0.14	0.88847	0.948371	0.02	0.88847	0	PCF11	100857	hCT17609.2,hCT2310335	51585	PCF11 cleavage and polyadenylation factor subunit	PCF11
7.9	-0.406	-1.64	0.10706	0.295391	2.7	0.10706	0	AGTR2	165289	hCT1761729	186	angiotensin II receptor type 2	AT2, ATGR2, MRX88, AGTR2
9.7	0.146	0.86	0.39436	0.62434	0.74	0.39436	0	NLGN3	179213	hCT1761739.2,hCT2358965,hCT2268593,hCT2268597,hCT1761738.2,hCT2268595,hCT2268596	54413	neuroligin 3	HNL3, NLGN3
10.12	-0.706	-3.47	0.00117	0.015815	12.02	0.00117	-1	NA	194146	hCT1761747.3	NA	NA	NA
11.41	-0.086	-0.37	0.71618	0.857604	0.13	0.71618	0	NA	213105	hCT1761997.3	NA	NA	NA
10.03	-0.076	-0.3	0.76447	0.885223	0.09	0.76447	0	NA	236345	hCT1761998.2	NA	NA	NA
8.84	-0.171	-0.69	0.4952	0.707121	0.47	0.4952	0	KCNA4	213845	hCT17620.4	3739	potassium voltage-gated channel subfamily A member 4	HBK4, HK1, HPCN2, HUKII, KCNA4L, KCNA8, KV1.4, PCN2, KCNA4
8.41	-0.069	-0.24	0.81116	0.91073	0.06	0.81116	0	NA	204418	hCT1762007.3	NA	NA	NA
9.23	0.062	0.33	0.74635	0.874947	0.11	0.74635	0	OR2M3	177578	hCT1762089.2	127062	olfactory receptor family 2 subfamily M member 3	OR1-54, OR2M3P, OR2M6, OST003, OR2M3
8.8	0.281	1.05	0.30098	0.538044	1.09	0.30098	0	OR5BF1	151050	hCT1762092	NA	NA	NA
7.69	-0.375	-2.04	0.04742	0.178858	4.15	0.04742	0	OR2T1	10700172	hCT1762096.2	26696	olfactory receptor family 2 subfamily T member 1	OR1-25, OR2T1
8.03	-0.055	-0.29	0.7727	0.890066	0.08	0.7727	0	OR2T10	156543	hCT1762605.1	127069	olfactory receptor family 2 subfamily T member 10	OR1-64, OR2T10
9.64	0.006	0.03	0.97775	0.990744	0	0.97775	0	NA	220550	hCT1762646	NA	NA	NA
7.56	0.281	1.02	0.31354	0.550457	1.04	0.31354	0	CFHL3	203931	hCT1762717.2	NA	NA	NA
9.04	-0.012	-0.05	0.96274	0.983198	0	0.96274	0	NA	378783	hCT1762985.3	NA	NA	NA
10.41	0.396	2.66	0.01083	0.069054	7.07	0.01083	0	NA	222368	hCT1763001.1	NA	NA	NA
12.34	0.047	0.41	0.68086	0.838039	0.17	0.68086	0	NA	135743	hCT1763084.2	NA	NA	NA
14.05	0.225	1.86	0.06881	0.225336	3.48	0.06881	0	FN3KRP	144872	hCT1763087.1	79672	fructosamine 3 kinase related protein	FN3KL, FN3KRP
9.21	0.208	0.92	0.36415	0.598637	0.84	0.36415	0	OR13G1	126227	hCT1763116	441933	olfactory receptor family 13 subfamily G member 1	OR1-37, OR13G1
9.08	0.329	1.51	0.13814	0.343157	2.28	0.13814	0	OR2L13	225955	hCT1763117.2	284521	olfactory receptor family 2 subfamily L member 13	OR2L14, OR2L13
10.59	-0.19	-1.21	0.2324	0.465615	1.47	0.2324	0	NA	231929	hCT1763120.2	NA	NA	NA
12.97	-0.936	-3.56	0.00088	0.013082	12.69	0.00088	-1	TRIM58	216429	hCT1763121.1	25893	tripartite motif containing 58	BIA2, TRIM58
8.14	0.404	1.86	0.06884	0.225411	3.47	0.06884	0	NA	182490	hCT1763127.2,hCT2263128	NA	NA	NA
17.29	-0.292	-2.19	0.03353	0.143789	4.81	0.03353	0	NA	176774	hCT1763139.2	NA	NA	NA
12.93	-0.22	-1.82	0.07577	0.239364	3.3	0.07577	0	NA	132480	hCT1763140.1	NA	NA	NA
8.68	-0.458	-2.38	0.02184	0.109218	5.64	0.02184	0	NA	188549	hCT1763175.3	NA	NA	NA
10.98	-0.429	-1.9	0.06324	0.21375	3.63	0.06324	0	OR52I1	176730	hCT1763180.1	390037	olfactory receptor family 52 subfamily I member 1	OR11-13, OR52I1
13.6	-0.081	-0.49	0.62836	0.80394	0.24	0.62836	0	CAT	211100	hCT17632.3,hCT2269001	847	catalase	CAT
15.04	0.471	2.56	0.01376	0.08072	6.57	0.01376	0	LMO2	207685	hCT17633.3,hCT2268364	4005	LIM domain only 2	RBTN2, RBTNL1, RHOM2, TTG2, LMO2
13.7	0.106	0.92	0.36031	0.595473	0.85	0.36031	0	COMMD9	157602	hCT17639.2,hCT1814572.1	29099	COMM domain containing 9	HSPC166, COMMD9
11.67	0.472	1.77	0.08278	0.253397	3.15	0.08278	0	SLC1A2	104294	hCT17640.4,hCT1816106.1,hCT1964345.1	6506	solute carrier family 1 member 2	EAAT2, EIEE41, GLT-1, HBGT, SLC1A2
7.83	0.129	0.7	0.4867	0.700256	0.49	0.4867	0	TSHB	125120	hCT1764143.2	7252	thyroid stimulating hormone beta	TSH-B, TSH-BETA, TSHB
10.7	0.182	0.56	0.58116	0.77103	0.31	0.58116	0	GLIPR1	117689	hCT17644.4,hCT2306701.1	11010	GLI pathogenesis related 1	CRISP7, GLIPR, RTVP1, GLIPR1
8.61	0.222	1.06	0.29633	0.533375	1.12	0.29633	0	NA	177853	hCT1764580.1	NA	NA	NA
16.04	-0.723	-5.85	0	7.5e-05	34.17	0	-1	NA	236579	hCT1764595.2	NA	NA	NA
7.9	-0.084	-0.37	0.71077	0.854854	0.14	0.71077	0	NA	177359	hCT1764796.3	NA	NA	NA
8.13	-0.048	-0.22	0.82477	0.917186	0.05	0.82477	0	ZBTB3	132783	hCT1764825.1,hCT2315268	79842	zinc finger and BTB domain containing 3	ZBTB3
9.19	-0.004	-0.02	0.98694	0.994883	0	0.98694	0	NA	139063	hCT1764830.2	NA	NA	NA
9.81	-0.256	-1.31	0.19638	0.423041	1.72	0.19638	0	FLJ10439	109689	hCT1764836.2,hCT2340857	NA	NA	NA
15.13	-0.366	-2.85	0.00661	0.050072	8.11	0.00661	0	LOC221091	185863	hCT1764838.2	NA	NA	NA
10.41	-0.283	-1.77	0.08419	0.255757	3.12	0.08419	0	NA	111054	hCT1764839.1,hCT2315249	NA	NA	NA
9.46	0.739	3.21	0.00246	0.025802	10.29	0.00246	1	PHLDA1	148054	hCT17650.3,hCT2307103	22822	pleckstrin homology like domain family A member 1	DT1P1B11, PHRIP, TDAG51, PHLDA1
14.74	0.138	0.54	0.59339	0.779944	0.29	0.59339	0	NA	236059	hCT17654.2,hCT2306854	NA	NA	NA
14.06	0.099	0.93	0.35673	0.592082	0.87	0.35673	0	HSPC132	200990	hCT17663.1	NA	NA	NA
11.08	-0.014	-0.12	0.90459	0.956446	0.01	0.90459	0	ALG10	694234	hCT1766333.1,hCT1828583.2	84920	ALG10, alpha-1,2-glucosyltransferase	ALG10A, DIE2, KCR1, ALG10
7.86	0.134	0.57	0.56898	0.762591	0.33	0.56898	0	NA	613336	hCT1766338.2	NA	NA	NA
11.46	-0.633	-2.94	0.00514	0.042549	8.65	0.00514	-1	NA	210487	hCT1766340.2	NA	NA	NA
8.58	0.083	0.49	0.6299	0.805157	0.24	0.6299	0	CESK1	163518	hCT1766341.1	NA	NA	NA
13.4	0.355	3.32	0.00179	0.020989	11.01	0.00179	1	NA	236471	hCT1766370.1	NA	NA	NA
7.78	-0.086	-0.37	0.71134	0.854948	0.14	0.71134	0	KIAA0125	649805	hCT1766393.1	NA	NA	NA
8.52	-0.387	-2.79	0.00768	0.05513	7.79	0.00768	0	NA	214404	hCT1766395.1	NA	NA	NA
8.68	-0.124	-0.45	0.6576	0.823172	0.2	0.6576	0	CART1	176969	hCT17665.3	NA	NA	NA
14.32	0.024	0.12	0.90864	0.958399	0.01	0.90864	0	NA	104873	hCT1766655.2	NA	NA	NA
13.26	0.446	4.54	4e-05	0.001635	20.58	4e-05	1	AP3B1	129596	hCT1767038.2,hCT2308497	8546	adaptor related protein complex 3 beta 1 subunit	ADTB3, ADTB3A, HPS, HPS2, PE, AP3B1
11.59	0.564	1.99	0.05238	0.190346	3.97	0.05238	0	AD031	157221	hCT1767157.2	NA	NA	NA
13.56	0.241	1.76	0.08599	0.259071	3.08	0.08599	0	NA	692859	hCT1767420.1	NA	NA	NA
8.54	0.318	1.19	0.24101	0.475836	1.41	0.24101	0	GPR20	169538	hCT1767425.2	2843	G protein-coupled receptor 20	GPR20
11.11	-0.001	-0.01	0.99419	0.997339	0	0.99419	0	NA	181202	hCT1767426	NA	NA	NA
7.19	0.068	0.31	0.76069	0.883403	0.09	0.76069	0	C10orf39	172834	hCT1767489.2	NA	NA	NA
8.8	0.172	0.76	0.44835	0.670724	0.58	0.44835	0	LRRC27	170833	hCT1767490.2,hCT2352286,hCT2352285,hCT2352287	80313	leucine rich repeat containing 27	LRRC27
8.35	0.147	0.71	0.47894	0.694594	0.51	0.47894	0	NA	194317	hCT1767679.2	NA	NA	NA
11.49	0.212	1.47	0.14875	0.358548	2.16	0.14875	0	NA	236974	hCT1767679.2,hCT2269343.1,hCT2351092,hCT1644555.5	NA	NA	NA
8.75	-0.41	-1.56	0.12479	0.323213	2.45	0.12479	0	NA	211377	hCT1767681	NA	NA	NA
11.79	-0.099	-0.42	0.67826	0.836239	0.17	0.67826	0	XCL1,XCL2	237059	hCT1767695.1,hCT28316.3	NA	NA	NA
8.07	-0.214	-0.73	0.4693	0.686846	0.53	0.4693	0	PTPN22	173497	hCT1767727.2,hCT2278555,hCT2278557	26191	protein tyrosine phosphatase, non-receptor type 22	LYP, LYP1, LYP2, PEP, PTPN22.5, PTPN22.6, PTPN8, PTPN22
7.74	0.199	0.82	0.41646	0.643911	0.67	0.41646	0	PTPN22	148473	hCT1767727.2,hCT2278555,hCT29883.3	26191	protein tyrosine phosphatase, non-receptor type 22	LYP, LYP1, LYP2, PEP, PTPN22.5, PTPN22.6, PTPN8, PTPN22
7.78	0.205	1.26	0.21361	0.442938	1.59	0.21361	0	MGC15937	145956	hCT1767736.2,hCT2355206,hCT1964847.1	NA	NA	NA
8.82	-0.452	-2.31	0.02555	0.121011	5.33	0.02555	0	NA	204880	hCT1767739.1	NA	NA	NA
7.9	0.532	2.22	0.03129	0.137683	4.94	0.03129	0	CANP	132549	hCT1767740.2	NA	NA	NA
7.56	-0.952	-4.48	5e-05	0.00181	20.1	5e-05	-1	NA	214727	hCT1767741.2	NA	NA	NA
9.63	-0.294	-1.39	0.17051	0.388593	1.94	0.17051	0	CDKL5	105355	hCT1767745.2,hCT2255206	6792	cyclin dependent kinase like 5	CFAP247, EIEE2, ISSX, STK9, CDKL5
12.11	0.588	3.74	0.00052	0.009004	13.99	0.00052	1	NA	113961	hCT1767820.1	NA	NA	NA
11.01	0.607	1.56	0.12685	0.326118	2.42	0.12685	0	FLJ25416	141900	hCT1767825.1	NA	NA	NA
9.09	0.234	1.18	0.24302	0.477808	1.4	0.24302	0	FLJ23514	188502	hCT1767835	NA	NA	NA
8.62	0.391	2.17	0.03531	0.148105	4.71	0.03531	0	NA	134916	hCT1767838.1	NA	NA	NA
10.83	-0.499	-3.7	0.00059	0.009858	13.68	0.00059	-1	ZMYND17	306070	hCT1767860.1	NA	NA	NA
10.56	-0.185	-1	0.32341	0.560712	1	0.32341	0	USP54	169792	hCT1767870.4,hCT1767859.4,hCT2322525.1	159195	ubiquitin specific peptidase 54	C10orf29, bA137L10.3, bA137L10.4, USP54
12.99	0.611	1.44	0.15798	0.371832	2.06	0.15798	0	PICALM	132438	hCT1767874.2,hCT1767873.2,hCT2310568,hCT2310567,hCT2310566,hCT2310570,hCT1964108.1,hCT2310563,hCT1767875.2,hCT2310564,hCT2355378	8301	phosphatidylinositol binding clathrin assembly protein	CALM, CLTH, LAP, PICALM
13.26	0.322	3.04	0.00392	0.035479	9.24	0.00392	1	NA	185117	hCT1767888.2	NA	NA	NA
8.77	-0.627	-2.78	0.0079	0.056157	7.73	0.0079	0	OR9G1	197936	hCT1767891.2	390174	olfactory receptor family 9 subfamily G member 1	OR9G5, OR9G1
11.37	0.03	0.14	0.88571	0.947143	0.02	0.88571	0	NAALAD2	121855	hCT1767909.2	10003	N-acetylated alpha-linked acidic dipeptidase 2	GCPIII, GPCIII, NAADALASE2, NAALADASE2, NAALAD2
7.11	-0.022	-0.08	0.93527	0.971504	0.01	0.93527	0	LOC399947	146949	hCT1767951.1	NA	NA	NA
13.29	-0.783	-7.76	0	1e-06	60.26	0	-1	NA	235511	hCT1768030.2	NA	NA	NA
7.26	0.272	1.14	0.25995	0.496066	1.3	0.25995	0	NA	710884	hCT1768041.1	NA	NA	NA
11.87	0.226	2.34	0.02373	0.115081	5.48	0.02373	0	SLC36A4	210668	hCT1768097.2,hCT2354456,hCT2354455	120103	solute carrier family 36 member 4	PAT4, SLC36A4
8.26	0.036	0.19	0.85127	0.930601	0.04	0.85127	0	OR5I1	173319	hCT1768162.2	10798	olfactory receptor family 5 subfamily I member 1	HSOlf1, OLF1, OR5I1
8.4	0.321	1.33	0.18984	0.414158	1.77	0.18984	0	NA	186595	hCT1768166.3	NA	NA	NA
7.85	-0.353	-1.95	0.05753	0.201964	3.8	0.05753	0	NA	228408	hCT1768168.2	NA	NA	NA
10.09	-0.818	-3.21	0.00245	0.025747	10.3	0.00245	-1	VPS37C	202003	hCT1768195.1,hCT32129.2	55048	VPS37C, ESCRT-I subunit	VPS37C
8.87	-0.153	-0.44	0.66477	0.827546	0.19	0.66477	0	PGA5	118372	hCT1768199.1	5222	pepsinogen 5, group I (pepsinogen A)	Pg5, PGA5
10.16	-0.309	-2.84	0.00669	0.050444	8.08	0.00669	0	MS4A10	111974	hCT1768200.1	341116	membrane spanning 4-domains A10	CD20L7, MS4A9, MS4A10
11.51	-0.581	-2.76	0.00822	0.057679	7.64	0.00822	0	ZNF408	143036	hCT1768219	79797	zinc finger protein 408	EVR6, RP72, ZNF408
10.61	-0.259	-1.59	0.119	0.31451	2.53	0.119	0	FLJ32675	165347	hCT1768221.4,hCT1966867.1,hCT2348942	NA	NA	NA
9.22	-0.126	-0.88	0.38405	0.61595	0.77	0.38405	0	NA	127531	hCT1768277.2	NA	NA	NA
10.12	0.069	0.33	0.73963	0.870965	0.11	0.73963	0	NA	211135	hCT1768294.2	NA	NA	NA
8.04	0.191	0.78	0.44118	0.664888	0.6	0.44118	0	NA	713286	hCT1768299.2	NA	NA	NA
17.18	-0.447	-2.15	0.0366	0.15157	4.64	0.0366	0	P11	192845	hCT17683.1,hCT2353281	NA	NA	NA
7.48	-0.108	-0.5	0.6225	0.800002	0.25	0.6225	0	C11orf33	122996	hCT1768321,hCT2354433	NA	NA	NA
7.57	0.015	0.05	0.95862	0.981881	0	0.95862	0	FAM55B	694422	hCT1768323.3	NA	NA	NA
8.59	-0.749	-3.56	9e-04	0.013258	12.65	9e-04	-1	NA	163554	hCT1768324.2,hCT2354461	NA	NA	NA
12.81	0.442	2.69	0.00993	0.065145	7.25	0.00993	0	NA	205016	hCT1768360.4	NA	NA	NA
9.15	-1.015	-2.72	0.0093	0.06235	7.38	0.0093	0	PRV1	201071	hCT1768403.1,hCT2353190	NA	NA	NA
12.34	-0.25	-1.86	0.0689	0.225516	3.47	0.0689	0	KRT15	152522	hCT1768417.1	3866	keratin 15	CK15, K15, K1CO, KRT15
8.84	0.327	1.11	0.2746	0.511441	1.22	0.2746	0	KRTHA2	217154	hCT1768421.1	NA	NA	NA
12.02	-0.156	-1.39	0.17101	0.389174	1.94	0.17101	0	KRTHA8	199242	hCT1768422.1	NA	NA	NA
7.96	0.082	0.32	0.75017	0.877341	0.1	0.75017	0	MMP8	158501	hCT1768510.2	4317	matrix metallopeptidase 8	CLG1, HNC, MMP-8, PMNL-CL, MMP8
8.28	0.183	1.04	0.30597	0.543431	1.07	0.30597	0	MMP27	111229	hCT1768512.1	64066	matrix metallopeptidase 27	MMP-27, MMP27
12.64	-0.205	-1.99	0.05314	0.19232	3.94	0.05314	0	NA	235218	hCT1768525	NA	NA	NA
9.23	0.085	0.36	0.71782	0.858517	0.13	0.71782	0	NA	193216	hCT1768626.2	NA	NA	NA
14.32	0.366	1.6	0.11746	0.311991	2.55	0.11746	0	NA	105296	hCT1768636.3	NA	NA	NA
