A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	p.value.adj.BasalvsLP	p.value.adj.BasalvsML	p.value.adj.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL
1.19	-0.509	-0.705	-0.196	0	0	0	0.97645	0.90901	0.99843	1	1	1	0	0	0	665155	Srp54b
2.32	-1.898	-1.361	0.538	-4.96	-1.97	0	0.00056	0.04224	0.98947	0.003741	0.159593	1	-1	0	0	100101807	1700047I17Rik2
4.67	-0.746	-0.538	0.207	0	0	0	0.91841	0.98832	0.99955	1	1	1	0	0	0	100101806	Srp54c
2.77	-1.322	-0.901	0.421	-1.79	0	0	0.05589	0.70049	0.99584	0.211618	1	1	0	0	0	100503822	LOC100503822
4.05	-0.431	-0.415	0.016	0	0	0	0.99718	0.99776	0.99999	1	1	1	0	0	0	59032	Ppp2r3c
4.25	-0.867	-0.938	-0.071	0	0	0	0.76312	0.63395	0.99985	1	1	1	0	0	0	66132	1110008L16Rik
6.75	-0.08	-0.307	-0.228	0	0	0	0.99996	0.99958	0.99988	1	1	1	0	0	0	26443	Psma6
9.17	-3.154	-2.52	0.633	-8.25	-5.86	0	2e-05	0.00019	0.90897	0.000232	0.001416	1	-1	-1	0	18035	Nfkbia
3.75	-0.213	-0.394	-0.181	0	0	0	0.99962	0.99838	0.9998	1	1	1	0	0	0	79459	Aldoart2
7.12	-0.47	-0.145	0.325	0	0	0	0.98988	0.9993	0.99795	1	1	1	0	0	0	56784	Ralgapa1
3.55	1.061	1.293	0.232	0.34	1.68	0	0.36999	0.06629	0.9987	1	0.23925	1	0	0	0	52592	Brms1l
3.34	0.156	0.218	0.062	0	0	0	0.99814	0.99724	0.99946	1	1	1	0	0	0	217588	Mbip
4.4	0.91	0.389	-0.522	0	0	0	0.66267	0.99268	0.97827	1	1	1	0	0	0	621837	Gm6265
5.7	-0.28	0.089	0.369	0	0	0	0.99967	0.99995	0.99946	1	1	1	0	0	0	328099	Prps1l3
2.26	-0.618	-0.352	0.266	0	0	0	0.93606	0.99004	0.99565	1	1	1	0	0	0	73490	Mipol1
1.37	-4.68	-6.833	-2.153	-5.83	-9.4	-3.3	0.00021	1e-05	0.00552	0.001622	0.000112	0.11821	-1	-1	0	100504018	Gm20016
-0.86	-4.782	-7.145	-2.362	-5.21	-8.74	-3.09	0.00044	1e-05	0.00756	0.002992	0.000167	0.149357	-1	-1	0	100040044	Gm2568
5.63	-3.952	-5.754	-1.802	-17.76	-28.35	-5.95	0	0	0.00017	8e-06	2e-06	0.019495	-1	-1	-1	15375	Foxa1
1.09	-4.862	-6.796	-1.934	-7.42	-11.28	-3.34	4e-05	0	0.00515	0.000422	4.2e-05	0.112844	-1	-1	0	70846	Ttc6
-1.4	-4.303	-6.646	-2.343	-5.99	-10.66	-3.8	0.00017	0	0.00267	0.001386	5.6e-05	0.075661	-1	-1	0	100504027	NA
2.93	-5.169	-6.934	-1.766	-7.81	-11.21	-2.69	3e-05	0	0.0139	0.00032	4.4e-05	0.229977	-1	-1	0	100503562	NA
-2.72	6.942	6.253	-0.689	9.6	8.58	0	1e-05	1e-05	0.68589	0.000113	0.000181	1	1	1	0	20605	Sstr1
-0.51	1.999	1.572	-0.427	1.97	1.19	0	0.04271	0.13446	0.86166	0.167784	0.449198	1	0	0	0	66864	Clec14a
5.74	1.034	0.884	-0.15	0.25	0	0	0.40338	0.79287	0.99993	1	1	1	0	0	0	20334	Sec23a
2.74	0.652	0.339	-0.313	0	0	0	0.89745	0.98764	0.98823	1	1	1	0	0	0	66603	Gemin2
4.39	-0.553	-0.579	-0.026	0	0	0	0.99609	0.99508	0.99999	1	1	1	0	0	0	78232	Trappc6b
6.52	-0.013	0.5	0.513	0	0	0	0.99951	0.94432	0.95118	1	1	1	0	0	0	18949	Pnn
-0.11	-1.444	-3.588	-2.145	-0.83	-5.29	-2.61	0.21663	0.00038	0.01565	0.691752	0.002501	0.250172	0	-1	0	338320	Mia2
6.29	-0.938	-0.9	0.038	0	0	0	0.6644	0.75221	0.99998	1	1	1	0	0	0	217615	NA
5.34	0.558	0.902	0.345	0	0	0	0.978	0.69378	0.99693	1	1	1	0	0	0	70611	Fbxo33
-0.23	4.817	7.679	2.862	6.41	7.98	2.18	0.00011	3e-05	0.03129	0.000958	0.000283	0.415438	1	1	0	238205	Lrfn5
2.47	-1.516	-0.74	0.776	-2.36	0	0	0.0229	0.8609	0.84859	0.096186	1	1	0	0	0	217648	Gm527
3.44	-1.463	-1.319	0.144	-1.9	-1.32	0	0.04688	0.11139	0.99818	0.181977	0.379658	1	0	0	0	66689	Klhl28
6.35	-0.453	-0.484	-0.031	0	0	0	0.99111	0.98846	0.99992	1	1	1	0	0	0	328108	Fam179b
6.12	-0.607	0.069	0.676	0	0	0	0.84339	0.99227	0.8143	1	1	1	0	0	0	328110	Prpf39
4.08	0.387	0.206	-0.181	0	0	0	0.99638	0.99932	0.99948	1	1	1	0	0	0	30795	Fkbp3
4.38	0.619	0.953	0.334	0	0	0	0.96275	0.59752	0.99671	1	1	1	0	0	0	104806	Fancm
1.47	2.381	2.434	0.053	5.2	5.61	0	0.00042	0.00026	0.99782	0.002888	0.001791	1	1	1	0	217653	Mis18bp1
0.97	-4.366	-6.701	-2.335	-5.95	-10.34	-4.06	0.00018	0	0.00185	0.001433	6.6e-05	0.060061	-1	-1	0	320772	Mdga2
1.72	0.224	0.108	-0.116	0	0	0	0.99713	0.99916	0.99901	1	1	1	0	0	0	20090	Rps29
5.79	-0.476	-0.577	-0.101	0	0	0	0.99618	0.98944	0.99993	1	1	1	0	0	0	66483	Rpl36al
6.51	0.042	0.422	0.38	0	0	0	0.99998	0.99872	0.99946	1	1	1	0	0	0	217664	Mgat2
2.65	1.242	0.896	-0.346	1.1	0	0	0.15174	0.68505	0.99109	0.508718	1	1	0	0	0	109065	Dnaaf2
1.34	0.056	-0.102	-0.158	0	0	0	0.99882	0.99817	0.99686	1	1	1	0	0	0	414085	9330151L19Rik
2.42	2.249	2.02	-0.229	5.37	4.61	0	0.00034	0.00087	0.99396	0.002444	0.005076	1	1	1	0	18974	Pole2
1.91	-0.018	0.209	0.227	0	0	0	0.99942	0.99163	0.99113	1	1	1	0	0	0	271005	Klhdc1
5.8	0.979	0.586	-0.393	0	0	0	0.56891	0.99618	0.99969	1	1	1	0	0	0	69554	Klhdc2
6.14	-0.344	-0.174	0.169	0	0	0	0.96088	0.98535	0.98902	1	1	1	0	0	0	66244	Nemf
8.3	-0.385	0.282	0.667	0	0	0	0.99863	0.99948	0.98216	1	1	1	0	0	0	11845	Arf6
0.11	-4	-3.688	0.313	-5.74	-5.15	0	0.00023	0.00045	0.95282	0.001733	0.002877	1	-1	-1	0	76062	5830428M24Rik
3.19	-0.112	-0.229	-0.118	0	0	0	0.99982	0.99953	0.99985	1	1	1	0	0	0	207965	Vcpkmt
6.3	-0.222	0.256	0.478	0	0	0	0.99985	0.9998	0.99879	1	1	1	0	0	0	20663	Sos2
3.93	0.428	0.368	-0.06	0	0	0	0.99808	0.99906	0.99996	1	1	1	0	0	0	217666	L2hgdh
2.49	-0.303	-0.819	-0.516	0	0	0	0.99277	0.78754	0.97493	1	1	1	0	0	0	68055	Atp5s
5.9	0.945	1.067	0.122	0	0.63	0	0.68816	0.2725	0.99999	1	0.830099	1	0	0	0	399510	Map4k5
1.54	2.066	2.088	0.022	4.59	4.88	0	9e-04	0.00062	0.99957	0.005555	0.00379	1	1	1	0	73991	Atl1
6.15	-0.355	-0.65	-0.296	0	0	0	0.99959	0.98897	0.99985	1	1	1	0	0	0	64010	Sav1
5.33	0.398	0.285	-0.114	0	0	0	0.99785	0.99927	0.99988	1	1	1	0	0	0	18080	Nin
2.13	-0.043	-0.012	0.031	0	0	0	0.99947	0.99987	0.99968	1	1	1	0	0	0	110095	Pygl
-2.32	4.555	5.365	0.809	6.33	7.68	0	0.00012	3e-05	0.62472	0.001026	0.000328	1	1	1	0	94090	Trim9
5.5	0.117	0.19	0.073	0	0	0	0.99991	0.99982	0.99996	1	1	1	0	0	0	72736	Tmx1
6.76	1.019	2.154	1.135	0.11	6.71	0.86	0.45712	8e-05	0.20786	1	0.000661	1	0	1	0	319710	Frmd6
5.77	0.457	-0.001	-0.458	0	0	0	0.99921	1	0.99946	1	1	1	0	0	0	56444	Actr10
4.36	0.123	0.121	-0.002	0	0	0	0.9999	0.99992	1	1	1	1	0	0	0	19167	Psma3
2.3	-0.574	-0.122	0.451	0	0	0	0.97422	0.99938	0.99214	1	1	1	0	0	0	73204	3110056K07Rik
5.7	-0.38	0.131	0.511	0	0	0	0.99848	0.99984	0.99601	1	1	1	0	0	0	238247	Arid4a
3.63	0.104	0.62	0.516	0	0	0	0.99975	0.97283	0.9902	1	1	1	0	0	0	30056	Timm9
4.02	0.518	0.39	-0.128	0	0	0	0.99611	0.99909	0.99992	1	1	1	0	0	0	76967	2700049A03Rik
2.14	2.958	4.116	1.159	4	5.93	0.28	0.00203	0.00018	0.39517	0.011238	0.00136	1	1	1	0	59036	Dact1
6.86	-0.611	-0.571	0.04	0	0	0	0.97705	0.98413	0.99995	1	1	1	0	0	0	208846	Daam1
0.7	0.009	0.887	0.878	0	0	0	0.99909	0.61586	0.6258	1	1	1	0	0	0	238252	Gpr135
3.5	1.698	1.773	0.075	4.07	4.6	0	0.00182	0.00089	0.99976	0.010265	0.005156	1	1	1	0	67217	L3hypdh
4.05	0.504	-0.005	-0.51	0	0	0	0.99173	0.99999	0.99283	1	1	1	0	0	0	104771	Jkamp
2.63	4.366	6.795	2.429	13.87	18.09	4.41	0	0	0.00114	1.8e-05	6e-06	0.045372	1	1	1	104001	Rtn1
-3.01	6.208	5.285	-0.922	8.88	7.48	0	1e-05	4e-05	0.55531	0.000168	0.000382	1	1	1	0	78257	Lrrc9
3.07	1.548	0.867	-0.68	2.76	0	0	0.01246	0.75494	0.92783	0.055584	1	1	0	0	0	67708	Pcnx4
4.17	-0.059	0.213	0.272	0	0	0	0.9999	0.99948	0.99925	1	1	1	0	0	0	66375	Dhrs7
5.99	-0.258	-0.035	0.222	0	0	0	0.99992	0.99999	0.99996	1	1	1	0	0	0	19042	Ppm1a
2.45	-2.435	-1.594	0.842	-4.09	-1.65	0	0.00178	0.06845	0.69169	0.010045	0.246021	1	-1	0	0	20474	Six4
4.59	-0.359	-0.378	-0.019	0	0	0	0.99864	0.99848	0.99999	1	1	1	0	0	0	17420	Mnat1
2.79	-0.576	-0.729	-0.153	0	0	0	0.96462	0.89618	0.9991	1	1	1	0	0	0	76357	Trmt5
3.1	-2.275	-2.069	0.206	-7.48	-6.3	0	4e-05	0.00012	0.99972	0.000389	0.000943	1	-1	-1	0	625098	Slc38a6
5.87	-3.101	-3.924	-0.824	-15.39	-21.3	0	0	0	0.90918	1.2e-05	3e-06	1	-1	-1	0	238257	Tmem30b
4.66	-2.114	-1.357	0.757	-5.34	-1.69	0	0.00035	0.06445	0.88213	0.002508	0.233265	1	-1	0	0	18755	Prkch
8.37	1.013	0.019	-0.994	0.03	0	0	0.48684	0.99792	0.50711	1	1	1	0	0	0	15251	Hif1a
3.61	0.741	0.257	-0.484	0	0	0	0.7749	0.98014	0.92942	1	1	1	0	0	0	75627	Snapc1
4.62	0.846	2.075	1.229	0	3.61	0.79	0.70053	0.00346	0.22695	1	0.017032	1	0	1	0	80837	Rhoj
6.37	0.38	0.523	0.144	0	0	0	0.99952	0.99774	0.99997	1	1	1	0	0	0	26932	Ppp2r5e
5.57	0.816	0.957	0.14	0	0	0	0.88838	0.61907	0.99992	1	1	1	0	0	0	81535	Sgpp1
7.38	0.706	1.057	0.351	0	0.36	0	0.94924	0.36455	0.99897	1	1	1	0	0	0	319565	Syne2
5.66	1.725	1.531	-0.194	4.3	3.19	0	0.00133	0.00646	0.99954	0.007838	0.029703	1	1	1	0	108156	Mthfd1
-0.99	2.563	3.66	1.097	3.09	5.05	0.17	0.00754	0.00051	0.4378	0.035449	0.003197	1	1	1	0	238276	Akap5
2.17	1.131	0.777	-0.354	0.72	0	0	0.24504	0.88487	0.99631	0.76742	1	1	0	0	0	109929	Zbtb25
5.48	1.745	1.948	0.203	3.86	4.93	0	0.00244	0.00058	0.99873	0.013205	0.003583	1	1	1	0	268564	Zbtb1
6.07	1.945	1.903	-0.042	4.28	4.11	0	0.00137	0.00171	0.99966	0.008031	0.009179	1	1	1	0	15512	Hspa2
1.88	-0.68	-0.139	0.542	0	0	0	0.89819	0.99745	0.96263	1	1	1	0	0	0	210762	Ppp1r36
7.09	-1.995	-2.868	-0.873	-4.79	-8.86	0	7e-04	1e-05	0.73151	0.004498	0.000143	1	-1	-1	0	263406	Plekhg3
-0.45	-4.702	-4.689	0.013	-8.25	-8.28	0	2e-05	2e-05	0.99939	0.000237	0.000214	1	-1	-1	0	100504549	AI463170
5.35	-3.554	-2.728	0.826	-14.6	-9.88	0	0	0	0.85768	1.5e-05	7.9e-05	1	-1	-1	0	20741	Sptb
4.48	-0.148	-0.73	-0.582	0	0	0	0.9999	0.9637	0.99468	1	1	1	0	0	0	211151	Churc1
7.48	-1.98	-2.069	-0.09	-4.45	-4.83	0	0.00109	0.00067	0.9992	0.006568	0.004007	1	-1	-1	0	104886	Rab15
4.94	-0.457	-0.193	0.264	0	0	0	0.99895	0.99992	0.99989	1	1	1	0	0	0	110606	Fntb
6.14	-0.007	0.055	0.063	0	0	0	1	0.99999	0.99999	1	1	1	0	0	0	17187	Max
4.55	-0.656	0.557	1.213	0	0	1.56	0.98078	0.99234	0.07936	1	1	0.792364	0	0	0	53618	Fut8
5.63	-0.801	-0.597	0.204	0	0	0	0.94948	0.99721	0.99998	1	1	1	0	0	0	268566	Gphn
7.23	-1.059	-0.685	0.373	-0.32	0	0	0.37717	0.9392	0.99698	1	1	1	0	0	0	56217	Mpp5
5.83	-0.682	-1.212	-0.53	0	-1.6	0	0.97816	0.07428	0.99731	1	0.265179	1	0	0	0	73834	Atp6v1d
6.24	0.287	0.328	0.041	0	0	0	0.99892	0.99848	0.99995	1	1	1	0	0	0	13665	Eif2s1
4	1.872	1.663	-0.208	6.93	5.48	0	6e-05	3e-04	0.99989	0.000602	0.002026	1	1	1	0	27260	Plek2
4.34	1.587	1.613	0.026	4.18	4.44	0	0.00156	0.0011	0.99998	0.008972	0.006222	1	1	1	0	268567	Tmem229b
5.69	-0.073	-1.363	-1.29	0	-1.16	-0.98	0.99519	0.13972	0.17888	1	0.46403	1	0	0	0	211945	Plekhh1
2.89	0.019	-0.766	-0.784	0	0	0	0.99932	0.80382	0.78577	1	1	1	0	0	0	110417	Pigh
4.52	-2.3	-4.048	-1.748	-6.25	-15.04	-4.38	0.00013	0	0.00119	0.001063	1.2e-05	0.045893	-1	-1	-1	11847	Arg2
5.49	-0.615	-0.838	-0.222	0	0	0	0.99253	0.88699	0.99992	1	1	1	0	0	0	53612	Vti1b
4.68	0.826	0.708	-0.118	0	0	0	0.9082	0.9812	0.99997	1	1	1	0	0	0	17252	Rdh11
0.34	0.042	2.914	2.872	0	3.56	3.57	0.9927	0.00375	0.00373	1	0.018303	0.094269	0	1	0	77974	Rdh12
4.83	-0.604	-0.517	0.086	0	0	0	0.97315	0.98781	0.99981	1	1	1	0	0	0	211978	Zfyve26
1	1.2	1.474	0.274	0.94	2.23	0	0.18806	0.02834	0.99422	0.6138	0.111474	1	0	0	0	19363	Rad51b
9.55	1.307	2.242	0.936	1.35	5.51	0	0.10711	0.00029	0.62243	0.376307	0.001963	1	0	1	0	12192	Zfp36l1
3.53	-0.233	0.035	0.268	0	0	0	0.99873	0.99988	0.99859	1	1	1	0	0	0	69548	2310015A10Rik
8.36	2.117	1.747	-0.37	8.26	5.49	0	2e-05	3e-04	0.99961	0.00023	0.002007	1	1	1	0	109711	Actn1
5.79	-0.264	-0.291	-0.027	0	0	0	0.99885	0.99859	0.99996	1	1	1	0	0	0	320808	Dcaf5
4.8	-0.083	0.265	0.347	0	0	0	0.9999	0.99939	0.999	1	1	1	0	0	0	97827	Exd2
2.63	3.894	5.336	1.441	8.74	11.75	1.13	1e-05	0	0.14543	0.000173	3.4e-05	1	1	1	0	108760	Galnt16
4	0.798	0.445	-0.353	0	0	0	0.83562	0.99105	0.99539	1	1	1	0	0	0	13877	Erh
6.44	-0.586	-0.986	-0.399	0	0	0	0.99546	0.54585	0.99964	1	1	1	0	0	0	328133	Slc39a9
1.19	-2.628	-4.278	-1.65	-5.81	-12.24	-3.24	2e-04	0	0.00599	0.001588	2.9e-05	0.125843	-1	-1	0	217682	Plekhd1
8.38	-0.178	0.133	0.311	0	0	0	0.99953	0.99969	0.99911	1	1	1	0	0	0	217684	Susd6
8.1	-0.307	0.063	0.37	0	0	0	0.99786	0.9998	0.99769	1	1	1	0	0	0	20384	Srsf5
2.8	-3.86	-2.398	1.462	-7.53	-3.56	1.5	4e-05	0.00375	0.08579	0.00038	0.018303	0.838067	-1	-1	0	64075	Smoc1
3.63	-0.228	-0.182	0.046	0	0	0	0.99979	0.99987	0.99998	1	1	1	0	0	0	66272	Cox16
5.32	0.35	0.346	-0.004	0	0	0	0.99965	0.99968	1	1	1	1	0	0	0	24071	Synj2bp
3.96	-0.147	-0.159	-0.012	0	0	0	0.99992	0.99992	1	1	1	1	0	0	0	69792	Med6
2.21	-0.776	-3.058	-2.282	0	-5.48	-3.59	0.69732	3e-04	0.00358	1	0.002045	0.091911	0	-1	0	69480	Ttc9
4.5	-2.5	-2.576	-0.076	-10.95	-11.57	0	0	0	0.99998	5.5e-05	3.5e-05	1	-1	-1	0	338372	Map3k9
7.27	0.035	-0.5	-0.535	0	0	0	0.99999	0.99845	0.99852	1	1	1	0	0	0	54604	Pcnx
5.02	1.482	-0.672	-2.155	1.81	0	-4.6	0.05372	0.89299	0.00088	0.204399	1	0.040048	0	0	-1	217692	Sipa1l1
4.66	-0.297	-0.019	0.278	0	0	0	0.99982	1	0.99989	1	1	1	0	0	0	73828	Dcaf4
5.55	-0.618	-0.908	-0.29	0	0	0	0.98476	0.72883	0.9996	1	1	1	0	0	0	217695	Zfyve1
7.5	-0.424	0.009	0.433	0	0	0	0.98498	0.99991	0.9885	1	1	1	0	0	0	67039	Rbm25
6.6	-0.516	-0.493	0.023	0	0	0	0.99902	0.99925	1	1	1	1	0	0	0	19164	Psen1
8.21	-2.763	-0.967	1.797	-8.2	0	3.96	2e-05	0.56055	0.00211	0.00024	1	0.065689	-1	0	0	170721	Papln
6.15	-1.176	-0.61	0.567	-1.34	0	0	0.10821	0.99106	0.99612	0.379396	1	1	0	0	0	18222	Numb
3.82	1.086	1.242	0.155	0.42	1.17	0	0.34427	0.13699	0.99836	1	0.456568	1	0	0	0	71952	Riox1
3.87	-0.585	-1.449	-0.865	0	-3.68	0	0.99409	0.00314	0.86163	1	0.015591	1	0	-1	0	171210	Acot2
6.32	-0.441	-0.884	-0.442	0	0	0	0.99891	0.80794	0.99926	1	1	1	0	0	0	26897	Acot1
0.65	-1.935	-0.692	1.243	-2.85	0	0.79	0.01089	0.80181	0.22628	0.049239	1	1	-1	0	0	171282	Acot4
0.27	-2.105	-0.211	1.894	-3.52	0	2.96	0.00395	0.97894	0.00908	0.020114	1	0.170978	-1	0	0	217698	Acot5
1.82	-2.765	-1.452	1.313	-7.53	-1.86	1.54	3e-05	0.05038	0.08096	0.000376	0.186868	0.80477	-1	0	0	217700	Acot6
4.04	0.967	0.346	-0.621	0	0	0	0.57962	0.99881	0.98073	1	1	1	0	0	0	105000	Dnal1
6.91	0.446	0.999	0.552	0	0	0	0.99452	0.50343	0.9901	1	1	1	0	0	0	238317	Elmsan1
5.26	-0.25	-0.943	-0.693	0	0	0	0.99973	0.6601	0.97919	1	1	1	0	0	0	77219	Ptgr2
5.44	-0.635	-0.129	0.506	0	0	0	0.97932	0.99982	0.99581	1	1	1	0	0	0	52708	Zfp410
1.44	0.02	-0.727	-0.747	0	0	0	0.99796	0.78087	0.76395	1	1	1	0	0	0	217705	Fam161b
4.15	0.507	0.173	-0.334	0	0	0	0.99746	0.99992	0.99966	1	1	1	0	0	0	217707	Coq6
4.68	0.797	0.969	0.172	0	0	0	0.89645	0.58115	0.9998	1	1	1	0	0	0	12499	Entpd5
3.3	-0.74	-0.725	0.015	0	0	0	0.93889	0.94986	0.99999	1	1	1	0	0	0	66381	Rnf113a2
5.4	-0.007	0.01	0.017	0	0	0	0.99999	0.99998	0.99998	1	1	1	0	0	0	104776	Aldh6a1
2.32	-0.153	-0.399	-0.246	0	0	0	0.99622	0.98195	0.99404	1	1	1	0	0	0	217708	Lin52
3.4	-0.213	-0.153	0.06	0	0	0	0.99911	0.99952	0.99986	1	1	1	0	0	0	19300	Abcd4
6.82	-0.169	-0.688	-0.52	0	0	0	0.99998	0.99172	0.99948	1	1	1	0	0	0	67963	Npc2
3.55	-0.252	-0.446	-0.194	0	0	0	0.99944	0.99723	0.99976	1	1	1	0	0	0	74316	Isca2
7.3	2.997	4.336	1.339	8.48	14.08	1.62	1e-05	0	0.07151	2e-04	1.6e-05	0.742728	1	1	0	16997	Ltbp2
-0.09	-0.093	0.709	0.802	0	0	0	0.98537	0.74997	0.67947	1	1	1	0	0	0	100303738	D030025P21Rik
5.63	-0.388	-0.831	-0.443	0	0	0	0.99968	0.91467	0.99961	1	1	1	0	0	0	68497	Arel1
3.32	-0.539	-0.613	-0.073	0	0	0	0.99327	0.98667	0.99995	1	1	1	0	0	0	73736	Fcf1
6.58	-0.126	0.197	0.323	0	0	0	0.99987	0.99974	0.99948	1	1	1	0	0	0	56531	Ylpm1
7.06	0.165	0.266	0.102	0	0	0	0.99994	0.99985	0.99998	1	1	1	0	0	0	78920	Dlst
0.73	-2.339	-0.679	1.66	-3.77	0	2.02	0.00275	0.78963	0.03936	0.014645	1	0.485681	-1	0	0	238323	Rps6kl1
3.09	2.547	3.321	0.774	3.55	5.1	0	0.0038	0.00048	0.6785	0.019448	0.003008	1	1	1	0	18654	Pgf
5	-0.456	-0.576	-0.12	0	0	0	0.99894	0.99601	0.99998	1	1	1	0	0	0	217715	Eif2b2
3.35	0.501	0.513	0.012	0	0	0	0.98167	0.98132	0.99993	1	1	1	0	0	0	217716	Mlh3
2.51	0.445	0.169	-0.276	0	0	0	0.99561	0.9997	0.99913	1	1	1	0	0	0	66204	Acyp1
1.25	-1.182	-1.412	-0.23	-0.55	-1.28	0	0.2986	0.11859	0.9858	0.907085	0.402074	1	0	0	0	72350	Zc2hc1c
6.97	-0.05	-0.191	-0.14	0	0	0	0.99996	0.99976	0.99991	1	1	1	0	0	0	217718	Nek9
6.23	0.012	-0.844	-0.857	0	0	0	0.99999	0.85637	0.85248	1	1	1	0	0	0	68581	Tmed10
11.77	-1.11	-0.98	0.13	-0.23	0	0	0.41445	0.51768	0.97302	1	1	1	0	0	0	14281	Fos
6.25	-1.811	-0.719	1.092	-3.74	0	0.45	0.00287	0.88546	0.3314	0.015182	1	1	-1	0	0	81703	Jdp2
2.72	-0.118	-1.777	-1.66	0	-3.95	-3.37	0.99859	0.00214	0.00492	1	0.011195	0.109971	0	-1	0	53314	Batf
2.55	-1.104	-2.142	-1.038	-0.41	-4.83	-0.18	0.34529	0.00066	0.43189	1	0.003976	1	0	-1	0	217721	Mfsd7c
4.38	0.327	-0.374	-0.702	0	0	0	0.99892	0.99871	0.96453	1	1	1	0	0	0	58520	0610007P14Rik
4.92	-0.125	-0.113	0.012	0	0	0	0.99998	0.99998	1	1	1	1	0	0	0	320244	Ttll5
7.37	-1.523	-0.095	1.428	-1.75	0	1.55	0.05911	0.99528	0.08028	0.222371	1	0.799669	0	0	0	21809	Tgfb3
5.43	-0.836	-1.205	-0.369	0	-1.55	0	0.87314	0.07975	0.99954	1	0.282751	1	0	0	0	76411	Ift43
5.17	0.225	0.17	-0.055	0	0	0	0.99971	0.99984	0.99997	1	1	1	0	0	0	70373	Gpatch2l
1.49	-3.023	-6.362	-3.339	-4.18	-11.78	-7.08	0.00158	0	5e-05	0.009079	3.4e-05	0.011281	-1	-1	-1	26380	Esrrb
2.46	3.595	3.336	-0.259	14.69	14.12	0	0	0	0.99793	1.5e-05	1.6e-05	1	1	1	0	238328	Vash1
3.08	-0.069	-0.604	-0.535	0	0	0	0.99989	0.98567	0.99312	1	1	1	0	0	0	68737	Angel1
7.61	0.017	-0.118	-0.135	0	0	0	0.99986	0.99892	0.99921	1	1	1	0	0	0	238330	Irf2bpl
4.92	0.782	0.501	-0.281	0	0	0	0.94727	0.99863	0.99988	1	1	1	0	0	0	217732	Cipc
4.05	0.682	0.467	-0.215	0	0	0	0.95954	0.9957	0.99952	1	1	1	0	0	0	217734	Pomt2
4.89	0.279	-0.016	-0.295	0	0	0	0.99984	1	0.99987	1	1	1	0	0	0	14874	Gstz1
4.72	1.291	0.876	-0.415	1.66	0	0	0.06783	0.75747	0.99563	0.251663	1	1	0	0	0	382620	Tmed8
4.84	-0.082	-0.684	-0.603	0	0	0	0.99987	0.96316	0.98619	1	1	1	0	0	0	104799	Vipas39
6.17	1.469	1.049	-0.42	3.47	0.37	0	0.00425	0.36113	0.99915	0.021439	1	1	1	0	0	217737	Ahsa1
-0.85	5.375	5.681	0.306	8.06	8.99	0	2e-05	1e-05	0.88814	0.000273	0.00014	1	1	1	0	217738	Ism2
6.74	0.136	0.072	-0.064	0	0	0	0.99913	0.99958	0.99977	1	1	1	0	0	0	20773	Sptlc2
4.4	0.335	0.84	0.504	0	0	0	0.98054	0.71333	0.94936	1	1	1	0	0	0	211064	Alkbh1
3.74	0.289	-0.48	-0.769	0	0	0	0.99676	0.98881	0.87659	1	1	1	0	0	0	380773	Slirp
6.27	-0.198	-0.324	-0.126	0	0	0	0.99997	0.99988	0.99999	1	1	1	0	0	0	66354	Snw1
-0.4	1.125	0.821	-0.303	0.35	0	0	0.36789	0.69359	0.95894	1	1	1	0	0	0	100862206	Gm21559
0.31	-0.094	-0.789	-0.695	0	0	0	0.99371	0.75157	0.83422	1	1	1	0	0	0	100038992	Gm2001
3.75	0.158	-0.16	-0.318	0	0	0	0.99752	0.99791	0.99332	1	1	1	0	0	0	72113	Adck1
2.7	-4.382	-7.049	-2.667	-6.54	-11.9	-5.61	1e-04	0	0.00026	0.000854	3.3e-05	0.022796	-1	-1	-1	18191	Nrxn3
1.18	1.071	2.666	1.595	0.21	4.44	1.56	0.41906	0.0011	0.07897	1	0.006222	0.791104	0	1	0	13371	Dio2
3.25	0.748	1.391	0.643	0	2.09	0	0.8989	0.03489	0.95283	1	0.133837	1	0	0	0	75216	Cep128
3.95	0.36	0.001	-0.359	0	0	0	0.99734	1	0.99785	1	1	1	0	0	0	83602	Gtf2a1
6.14	3.576	1.961	-1.615	10.31	4.06	-2.65	0	0.00183	0.01458	7.3e-05	0.009755	0.237208	1	1	0	108800	Ston2
0.15	2.414	0.511	-1.903	2.68	0	-1.75	0.01403	0.86036	0.05955	0.061918	1	0.653298	0	0	0	666955	Gm8378
7	-0.632	-1.218	-0.586	0	-1.75	0	0.99127	0.05889	0.99644	1	0.214819	1	0	0	0	20338	Sel1l
1.3	-0.452	1.057	1.509	0	0.09	0.77	0.81838	0.47519	0.23317	1	1	1	0	0	0	399558	Flrt2
3.83	0.154	0.737	0.583	0	0	0	0.99934	0.90595	0.97562	1	1	1	0	0	0	14420	Galc
2.4	0.146	-0.098	-0.244	0	0	0	0.99912	0.99957	0.99837	1	1	1	0	0	0	104871	Spata7
5.75	-0.145	0.127	0.271	0	0	0	0.99981	0.99985	0.9996	1	1	1	0	0	0	24000	Ptpn21
