A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
12.95	-0.631	-1.6	0.13459	0.5822	2.55	0.13459	0	A_23_P127948	133	ADM
2.66	-0.252	-0.72	0.48406	0.838941	0.52	0.48406	0	NA	NA	NA
13.24	0.196	0.72	0.48254	0.838421	0.52	0.48254	0	NA	NA	NA
7.14	-0.246	-0.68	0.51062	0.849676	0.46	0.51062	0	NA	NA	NA
14.31	0.203	0.79	0.4444	0.820412	0.62	0.4444	0	NA	NA	NA
12.04	-0.153	-0.54	0.59686	0.885461	0.29	0.59686	0	NA	NA	NA
8.88	0.006	0.02	0.98735	0.996803	0	0.98735	0	NA	NA	NA
9.39	-0.236	-0.79	0.44171	0.819537	0.63	0.44171	0	NA	NA	NA
10.53	1.26	3.51	0.0038	0.182462	12.35	0.0038	0	NA	NA	NA
12.04	0.354	1.01	0.33258	0.752419	1.01	0.33258	0	NA	NA	NA
11.9	-0.209	-0.38	0.70723	0.924148	0.15	0.70723	0	A_23_P329740	7316	UBC
13.88	0.469	1.69	0.11447	0.555007	2.86	0.11447	0	A_23_P215790	1956	EGFR
3.8	-0.344	-0.7	0.49505	0.844723	0.49	0.49505	0	NA	NA	NA
13.68	0.291	1.16	0.26673	0.708169	1.35	0.26673	0	NA	NA	NA
8.03	0.376	1.1	0.29111	0.725936	1.21	0.29111	0	NA	NA	NA
10.52	-0.002	-0.01	0.99577	0.999105	0	0.99577	0	A_24_P233915	112950	MED8
8.55	-0.736	-1.4	0.18593	0.638251	1.95	0.18593	0	NA	NA	NA
5.54	0.471	1.54	0.14871	0.599817	2.36	0.14871	0	NA	NA	NA
11.29	-0.318	-0.97	0.3481	0.763609	0.95	0.3481	0	NA	NA	NA
12.63	-0.504	-1.86	0.08637	0.515456	3.44	0.08637	0	NA	NA	NA
11.43	0.3	0.91	0.37855	0.782877	0.83	0.37855	0	A_23_P29248	7263	TST
10.57	0.294	1.14	0.27581	0.715536	1.29	0.27581	0	A_23_P83736	3622	ING2
5.3	-0.024	-0.07	0.94273	0.987031	0.01	0.94273	0	A_24_P41975	11022	TDRKH
11.24	-0.047	-0.15	0.88559	0.974127	0.02	0.88559	0	NA	NA	NA
5.39	0.292	0.72	0.48621	0.839928	0.51	0.48621	0	NA	NA	NA
3.95	0.636	1.29	0.21981	0.669474	1.66	0.21981	0	A_23_P317667	23308	ICOSLG
8.31	0.583	1.31	0.21448	0.664391	1.7	0.21448	0	NA	NA	NA
8.71	-0.491	-1.27	0.22668	0.676661	1.61	0.22668	0	NA	NA	NA
4.39	-0.425	-1.07	0.30562	0.736396	1.14	0.30562	0	NA	NA	NA
8.96	0.027	0.07	0.94633	0.988161	0	0.94633	0	NA	NA	NA
3.79	0.056	0.17	0.86911	0.970756	0.03	0.86911	0	NA	NA	NA
4.17	0.009	0.02	0.98512	0.99616	0	0.98512	0	A_23_P121851	56121	PCDHB15
6.49	-2.25	-3.31	0.00567	0.213933	10.93	0.00567	0	NA	NA	NA
3.04	-0.232	-0.59	0.56395	0.871768	0.35	0.56395	0	A_23_P63972	390213	LOC390213
4.39	0.049	0.13	0.8974	0.975965	0.02	0.8974	0	NA	NA	NA
10.48	-0.257	-0.86	0.40707	0.798218	0.73	0.40707	0	A_23_P122563	10471	PFDN6
3.7	-0.107	-0.22	0.82751	0.960837	0.05	0.82751	0	NA	NA	NA
8.79	0.624	1.96	0.07197	0.488426	3.84	0.07197	0	A_23_P206441	2175	FANCA
9.19	-0.592	-1.29	0.22073	0.670563	1.65	0.22073	0	A_23_P86021	8991	SELENBP1
3.48	0.185	0.59	0.56263	0.871279	0.35	0.56263	0	A_23_P120694	9992	KCNE2
3.69	0.001	0	0.9985	0.999931	0	0.9985	0	NA	NA	NA
6.22	-0.571	-1.14	0.27402	0.714006	1.3	0.27402	0	A_23_P254801	5335	PLCG1
7.02	-0.014	-0.05	0.96023	0.991135	0	0.96023	0	NA	NA	NA
7.38	0.236	0.61	0.55105	0.867516	0.37	0.55105	0	A_23_P160240	51205	ACP6
4.6	-2.002	-3.26	0.00624	0.218282	10.61	0.00624	0	NA	NA	NA
10.29	0.736	2.6	0.02219	0.338208	6.74	0.02219	0	NA	NA	NA
3.29	0.548	1.32	0.20884	0.658897	1.75	0.20884	0	NA	NA	NA
2.86	-0.267	-0.91	0.37951	0.783515	0.83	0.37951	0	NA	NA	NA
11.94	0.473	1.2	0.25042	0.694929	1.45	0.25042	0	NA	NA	NA
3.85	0.426	1.2	0.25152	0.696085	1.44	0.25152	0	NA	NA	NA
3.52	0.15	0.41	0.68987	0.917369	0.17	0.68987	0	NA	NA	NA
4.07	-0.848	-2.61	0.02166	0.335812	6.8	0.02166	0	NA	NA	NA
3.13	0.065	0.2	0.84154	0.964144	0.04	0.84154	0	NA	NA	NA
4.51	-1.194	-2.27	0.04092	0.408458	5.15	0.04092	0	NA	NA	NA
6.38	-2.036	-2.54	0.02442	0.349148	6.48	0.02442	0	NA	NA	NA
14.17	-1.208	-3.19	0.00711	0.227979	10.17	0.00711	0	A_32_P140139	2162	F13A1
8.94	-0.948	-2.65	0.02006	0.326736	7.01	0.02006	0	NA	NA	NA
9.3	-0.072	-0.21	0.83476	0.962652	0.05	0.83476	0	NA	NA	NA
14.42	-0.026	-0.08	0.93582	0.985501	0.01	0.93582	0	NA	NA	NA
7.05	0.353	1.19	0.25499	0.698878	1.42	0.25499	0	A_23_P112103	79792	GSDMDC1
3.37	0.409	1.28	0.22389	0.674054	1.63	0.22389	0	NA	NA	NA
10.22	0.028	0.11	0.91783	0.98115	0.01	0.91783	0	A_23_P204503	5564	PRKAB1
8.14	-0.18	-0.59	0.56518	0.872107	0.35	0.56518	0	NA	NA	NA
11.92	1.091	2.83	0.01429	0.290826	7.99	0.01429	0	NA	NA	NA
4.1	-0.153	-0.38	0.70976	0.924776	0.14	0.70976	0	NA	NA	NA
3.56	-0.176	-0.39	0.69969	0.921473	0.16	0.69969	0	NA	NA	NA
9.05	-0.469	-1.42	0.1805	0.633277	2	0.1805	0	A_23_P63896	355	FAS
7.38	-0.681	-1.23	0.24119	0.687628	1.51	0.24119	0	NA	NA	NA
2.83	-0.246	-0.79	0.44303	0.819877	0.63	0.44303	0	NA	NA	NA
7.3	0.023	0.05	0.95806	0.990939	0	0.95806	0	A_24_P416370	3214	HOXB4
6.94	0.229	0.56	0.58304	0.879435	0.32	0.58304	0	NA	NA	NA
4.02	-0.584	-1.24	0.23624	0.683814	1.54	0.23624	0	A_23_P107744	53637	EDG8
9.11	-0.062	-0.2	0.84371	0.964696	0.04	0.84371	0	A_23_P49924	115024	NT5C3L
6.9	-3.418	-4.18	0.00107	0.109861	17.51	0.00107	0	NA	NA	NA
9.34	0.27	0.69	0.49986	0.84676	0.48	0.49986	0	A_24_P406830	8898	MTMR2
3.4	0.147	0.45	0.65966	0.908418	0.2	0.65966	0	A_23_P331211	124872	B4GALNT2
5.44	-2.139	-3.36	0.00509	0.203631	11.3	0.00509	0	A_24_P335092	6288	SAA1
2.76	-0.584	-1.96	0.07167	0.487959	3.84	0.07167	0	NA	NA	NA
7.38	0.214	0.42	0.67863	0.914009	0.18	0.67863	0	NA	NA	NA
10.61	-0.141	-0.3	0.77152	0.945321	0.09	0.77152	0	A_24_P941922	4850	CNOT4
12.98	-0.082	-0.32	0.75308	0.939586	0.1	0.75308	0	A_24_P175909	4141	MARS
7.19	0.501	1.02	0.32492	0.747455	1.05	0.32492	0	NA	NA	NA
9.25	0.086	0.28	0.78754	0.9498	0.08	0.78754	0	NA	NA	NA
3.07	-0.216	-0.72	0.48536	0.839468	0.52	0.48536	0	NA	NA	NA
4.16	1.041	3.06	0.00904	0.250671	9.39	0.00904	0	NA	NA	NA
4.37	-1.299	-4.18	0.00107	0.109861	17.51	0.00107	0	NA	NA	NA
4.99	0.269	0.97	0.35025	0.764594	0.94	0.35025	0	NA	NA	NA
12.16	0.184	0.64	0.53354	0.859626	0.41	0.53354	0	A_23_P118888	5048	PAFAH1B1
6.83	0.103	0.2	0.8455	0.964726	0.04	0.8455	0	NA	NA	NA
11.17	0.98	2.36	0.03471	0.388874	5.56	0.03471	0	A_23_P103486	1573	CYP2J2
7.97	-0.259	-0.44	0.66412	0.909572	0.2	0.66412	0	A_32_P45974	29798	C2orf27
8.64	-0.372	-0.77	0.456	0.826656	0.59	0.456	0	NA	NA	NA
9.97	0.001	0	0.99702	0.999379	0	0.99702	0	A_23_P59602	54468	FLJ20323
5.39	0.699	0.92	0.3759	0.781261	0.84	0.3759	0	NA	NA	NA
9.13	-0.949	-1.09	0.29373	0.728331	1.2	0.29373	0	A_24_P413126	56937	TMEPAI
4.73	-0.52	-1.12	0.2817	0.719873	1.26	0.2817	0	NA	NA	NA
6.53	-0.028	-0.07	0.94647	0.988161	0	0.94647	0	NA	NA	NA
3.67	0.233	0.72	0.48327	0.838651	0.52	0.48327	0	NA	NA	NA
7.84	0.549	1.06	0.31024	0.739686	1.11	0.31024	0	NA	NA	NA
6.02	-0.38	-0.69	0.50503	0.848513	0.47	0.50503	0	NA	NA	NA
8.39	-0.349	-1.22	0.24232	0.68853	1.5	0.24232	0	NA	NA	NA
5.46	-0.247	-0.34	0.73718	0.93341	0.12	0.73718	0	NA	NA	NA
9.9	0.761	2.78	0.01571	0.301807	7.71	0.01571	0	NA	NA	NA
9.11	0.688	2.29	0.03936	0.401876	5.24	0.03936	0	NA	NA	NA
5.01	-0.692	-0.96	0.35385	0.766177	0.92	0.35385	0	NA	NA	NA
5.85	-2.089	-1.6	0.13324	0.580415	2.56	0.13324	0	A_23_P129665	3681	ITGAD
7.47	0.891	2.84	0.01379	0.28721	8.09	0.01379	0	NA	NA	NA
9.56	-0.95	-1.55	0.14575	0.596285	2.39	0.14575	0	NA	NA	NA
12.79	-0.556	-1.54	0.1466	0.597585	2.38	0.1466	0	NA	NA	NA
12.19	0.611	2.08	0.05814	0.456823	4.32	0.05814	0	A_23_P253177	8428	STK24
4.01	0.504	1.45	0.17077	0.623529	2.1	0.17077	0	NA	NA	NA
11.3	-0.745	-2.06	0.05976	0.46009	4.25	0.05976	0	NA	NA	NA
3.92	-0.535	-1.25	0.23272	0.681824	1.57	0.23272	0	NA	NA	NA
8.37	0.021	0.07	0.94682	0.988269	0	0.94682	0	A_23_P218282	54925	ZNF434
4.23	-0.12	-0.18	0.86356	0.969526	0.03	0.86356	0	A_24_P40001	27181	SIGLEC8
3.44	-0.414	-1.23	0.24174	0.687986	1.5	0.24174	0	NA	NA	NA
12.16	-0.548	-2	0.06632	0.476719	4.02	0.06632	0	NA	NA	NA
12.29	-0.48	-1.37	0.19533	0.645782	1.86	0.19533	0	A_23_P104362	1892	ECHS1
3.52	0.254	0.9	0.38613	0.787438	0.8	0.38613	0	NA	NA	NA
10.61	-0.452	-1.78	0.09779	0.532159	3.18	0.09779	0	A_23_P53668	4801	NFYB
4.66	-1.684	-4.34	8e-04	0.097368	18.83	8e-04	0	NA	NA	NA
2.69	-0.813	-2.19	0.04696	0.428573	4.82	0.04696	0	A_23_P53884	4081	MAB21L1
4.34	0.618	2.07	0.05853	0.457739	4.3	0.05853	0	NA	NA	NA
13.77	-0.145	-0.38	0.71055	0.925021	0.14	0.71055	0	A_32_P144220	NA	
6.73	-0.753	-1.47	0.1663	0.619719	2.15	0.1663	0	A_23_P103775	84230	LRRC8C
3.63	-0.276	-0.77	0.45757	0.82747	0.59	0.45757	0	NA	NA	NA
6.85	-0.471	-0.93	0.36907	0.776616	0.87	0.36907	0	NA	NA	NA
12.64	0.312	1.16	0.26566	0.707397	1.35	0.26566	0	NA	NA	NA
13.22	0.09	0.36	0.72481	0.929538	0.13	0.72481	0	NA	NA	NA
9.04	-0.461	-1.58	0.13773	0.586222	2.5	0.13773	0	NA	NA	NA
8.03	-0.331	-0.83	0.42118	0.806952	0.69	0.42118	0	NA	NA	NA
4.32	0.022	0.05	0.96457	0.991691	0	0.96457	0	NA	NA	NA
8.74	0.397	1.14	0.27324	0.713036	1.31	0.27324	0	NA	NA	NA
4.43	0.011	0.02	0.9841	0.995919	0	0.9841	0	A_23_P124252	57118	CAMK1D
6.79	-0.369	-0.92	0.37265	0.779388	0.85	0.37265	0	NA	NA	NA
9.34	0.173	0.38	0.71067	0.925021	0.14	0.71067	0	NA	NA	NA
3.96	-0.305	-0.87	0.39821	0.794563	0.76	0.39821	0	NA	NA	NA
10.96	-0.247	-0.35	0.73454	0.932424	0.12	0.73454	0	A_23_P104318	54541	DDIT4
9.7	-0.057	-0.1	0.92485	0.982909	0.01	0.92485	0	A_24_P188878	6164	RPL34
3.13	0.028	0.06	0.94981	0.989016	0	0.94981	0	NA	NA	NA
10.51	-0.351	-0.99	0.34153	0.758791	0.97	0.34153	0	A_23_P104942	51075	TXNDC14
7.71	0.329	1.12	0.28451	0.72201	1.25	0.28451	0	NA	NA	NA
6.04	0.278	0.92	0.37677	0.782008	0.84	0.37677	0	NA	NA	NA
10.31	-0.705	-1.09	0.29539	0.72988	1.19	0.29539	0	A_23_P111995	4017	LOXL2
9.31	0.309	0.9	0.38283	0.785988	0.82	0.38283	0	A_23_P2355	23468	CBX5
9.78	-0.793	-1.12	0.28221	0.720089	1.26	0.28221	0	NA	NA	NA
3.1	-0.455	-1.44	0.17296	0.625475	2.08	0.17296	0	NA	NA	NA
3.73	-1.946	-5.24	0.00016	0.04247	27.49	0.00016	-1	NA	NA	NA
8.16	1.455	2.91	0.01217	0.276883	8.46	0.01217	0	NA	NA	NA
2.98	0.087	0.21	0.83906	0.96346	0.04	0.83906	0	NA	NA	NA
9.59	-0.443	-0.69	0.50059	0.846887	0.48	0.50059	0	NA	NA	NA
5.02	0.307	0.65	0.52746	0.857109	0.42	0.52746	0	NA	NA	NA
5.53	0.841	2.32	0.03704	0.395392	5.4	0.03704	0	NA	NA	NA
8.31	-1.361	-4.24	0.00096	0.105872	18.01	0.00096	0	NA	NA	NA
9.85	-0.02	-0.06	0.95202	0.989376	0	0.95202	0	NA	NA	NA
7.76	0.569	1.68	0.11634	0.558522	2.83	0.11634	0	A_23_P368996	115399	LRRC56
8.01	-0.55	-1.95	0.07274	0.4892	3.81	0.07274	0	NA	NA	NA
11.78	0.024	0.07	0.94828	0.98856	0	0.94828	0	A_23_P131723	10971	YWHAQ
6.38	-2.037	-1.86	0.08532	0.512706	3.47	0.08532	0	A_23_P110624	1501	CTNND2
3.91	-0.202	-0.33	0.7478	0.937786	0.11	0.7478	0	NA	NA	NA
10.89	0.258	0.9	0.38632	0.787438	0.8	0.38632	0	NA	NA	NA
8.38	-0.224	-0.5	0.62754	0.89642	0.25	0.62754	0	NA	NA	NA
3.5	-0.332	-0.82	0.42645	0.810216	0.67	0.42645	0	NA	NA	NA
8.16	-0.896	-1.91	0.07888	0.500619	3.64	0.07888	0	NA	NA	NA
12.47	-1.041	-2.05	0.06144	0.465323	4.19	0.06144	0	NA	NA	NA
5.68	0.499	1.33	0.20481	0.654064	1.78	0.20481	0	A_23_P61487	55222	LRRC20
4.77	0.731	1.81	0.09271	0.526451	3.29	0.09271	0	NA	NA	NA
11.37	-0.624	-1.49	0.15979	0.612574	2.22	0.15979	0	NA	NA	NA
2.75	-0.124	-0.28	0.78369	0.948471	0.08	0.78369	0	NA	NA	NA
11.64	-0.375	-0.96	0.35433	0.766742	0.92	0.35433	0	NA	NA	NA
10.69	0.748	2.56	0.02372	0.346223	6.55	0.02372	0	NA	NA	NA
3.58	0.208	0.53	0.60833	0.889443	0.28	0.60833	0	NA	NA	NA
3.22	-0.108	-0.32	0.75354	0.939586	0.1	0.75354	0	A_23_P8938	148	ADRA1A
11.33	-0.085	-0.24	0.81685	0.957892	0.06	0.81685	0	NA	NA	NA
9.46	0.387	1.11	0.28778	0.724304	1.23	0.28778	0	A_24_P48162	4350	MPG
3.62	0.398	0.79	0.44536	0.82076	0.62	0.44536	0	NA	NA	NA
14.47	-0.969	-3.09	0.00858	0.246529	9.56	0.00858	0	NA	NA	NA
8.72	0.054	0.19	0.8542	0.967234	0.04	0.8542	0	NA	NA	NA
12.32	0.072	0.27	0.79414	0.951309	0.07	0.79414	0	A_23_P3527	5432	POLR2C
8.64	0.476	1.4	0.18614	0.638251	1.95	0.18614	0	NA	NA	NA
5.64	0.297	0.9	0.38328	0.786021	0.81	0.38328	0	A_23_P166526	26150	RIBC2
4.35	0.231	0.54	0.60074	0.886918	0.29	0.60074	0	NA	NA	NA
9.69	1.046	2.27	0.04095	0.408526	5.15	0.04095	0	NA	NA	NA
3.52	-0.113	-0.24	0.81255	0.956322	0.06	0.81255	0	NA	NA	NA
4.41	0.1	0.26	0.79897	0.952497	0.07	0.79897	0	NA	NA	NA
7.69	-1.104	-2.16	0.04984	0.436515	4.67	0.04984	0	NA	NA	NA
6.95	-0.628	-1.87	0.08425	0.511256	3.49	0.08425	0	NA	NA	NA
9.65	-0.422	-0.92	0.3764	0.78153	0.84	0.3764	0	NA	NA	NA
8.98	0.242	0.51	0.61871	0.893515	0.26	0.61871	0	A_24_P125871	54101	RIPK4
3.49	0.799	1.09	0.29572	0.730075	1.19	0.29572	0	NA	NA	NA
3.39	0.151	0.34	0.73989	0.934959	0.12	0.73989	0	A_23_P123393	3786	KCNQ3
13.03	0.074	0.27	0.78871	0.949863	0.07	0.78871	0	NA	NA	NA
3.61	-0.534	-1.55	0.14473	0.595046	2.41	0.14473	0	NA	NA	NA
3.9	1.167	3.22	0.0067	0.223505	10.37	0.0067	0	NA	NA	NA
7.29	0.284	0.68	0.50949	0.849422	0.46	0.50949	0	NA	NA	NA
10.48	0.16	0.39	0.7048	0.923321	0.15	0.7048	0	A_23_P109907	286676	ILDR1
4.08	0.256	0.86	0.40583	0.797509	0.74	0.40583	0	NA	NA	NA
11.79	0.369	1.11	0.2852	0.722503	1.24	0.2852	0	NA	NA	NA
9.48	-0.264	-0.67	0.5176	0.8531	0.44	0.5176	0	NA	NA	NA
6.77	-0.079	-0.16	0.87565	0.971719	0.03	0.87565	0	NA	NA	NA
3.22	-0.594	-1.98	0.06924	0.48423	3.92	0.06924	0	NA	NA	NA
7.43	1.098	2.18	0.04856	0.432869	4.74	0.04856	0	NA	NA	NA
14	-0.658	-1.51	0.15404	0.60617	2.29	0.15404	0	NA	NA	NA
11.01	-0.605	-1.29	0.21847	0.668223	1.67	0.21847	0	A_23_P61531	2720	GLB1
3.03	0.321	0.91	0.38112	0.784507	0.82	0.38112	0	NA	NA	NA
7.91	-0.213	-0.41	0.68627	0.915993	0.17	0.68627	0	NA	NA	NA
5.16	0.471	1.25	0.23259	0.681824	1.57	0.23259	0	NA	NA	NA
4.4	-1.435	-2.4	0.03184	0.376342	5.78	0.03184	0	NA	NA	NA
9.2	-0.895	-2.49	0.02704	0.360412	6.2	0.02704	0	A_23_P110253	3815	KIT
10.51	0.338	0.94	0.36337	0.773485	0.89	0.36337	0	A_23_P144054	5580	PRKCD
7.94	0.499	1.37	0.19328	0.644578	1.88	0.19328	0	A_24_P481783	390595	LOC390595
5.97	-1.05	-1.62	0.12993	0.57653	2.61	0.12993	0	A_23_P340848	5739	PTGIR
6.52	-0.519	-0.88	0.39491	0.793523	0.77	0.39491	0	NA	NA	NA
14.66	0.554	1.92	0.07712	0.496994	3.68	0.07712	0	NA	NA	NA
11.91	0.331	0.63	0.5396	0.862302	0.4	0.5396	0	NA	NA	NA
3.07	-0.507	-1.19	0.25718	0.700719	1.4	0.25718	0	NA	NA	NA
3.29	-0.75	-2.23	0.04394	0.419158	4.98	0.04394	0	NA	NA	NA
2.99	-0.55	-1.31	0.21432	0.664262	1.7	0.21432	0	NA	NA	NA
9.02	-0.372	-0.93	0.36821	0.776162	0.87	0.36821	0	A_23_P424316	6942	TCF20
10.91	-0.766	-1.19	0.25493	0.698878	1.42	0.25493	0	A_23_P337262	147495	APCDD1
9.92	-0.501	-1.82	0.09206	0.525525	3.31	0.09206	0	NA	NA	NA
7.63	-0.611	-1.54	0.14725	0.598239	2.38	0.14725	0	A_23_P108734	55821	ALLC
2.76	-0.724	-2.05	0.06147	0.465388	4.19	0.06147	0	NA	NA	NA
4.95	0.04	0.12	0.90929	0.978629	0.01	0.90929	0	NA	NA	NA
10.83	-0.349	-0.76	0.46305	0.829873	0.57	0.46305	0	NA	NA	NA
6.83	0.648	2.26	0.04182	0.413044	5.1	0.04182	0	NA	NA	NA
6.89	-0.461	-1.22	0.24272	0.688562	1.5	0.24272	0	A_23_P134085	154043	CNKSR3
9.62	-0.8	-1.55	0.14477	0.595065	2.41	0.14477	0	A_23_P41114	1475	CSTA
7.56	0.198	0.54	0.59913	0.886501	0.29	0.59913	0	A_24_P56689	7755	ZNF205
5.62	0.536	1.79	0.09715	0.531316	3.2	0.09715	0	NA	NA	NA
11.51	-0.074	-0.2	0.84354	0.964675	0.04	0.84354	0	A_23_P418413	9943	OXSR1
4.84	-0.756	-1.34	0.20266	0.653398	1.8	0.20266	0	NA	NA	NA
8.86	0.233	0.51	0.61668	0.892479	0.26	0.61668	0	NA	NA	NA
7.27	-1.522	-2.16	0.05006	0.436563	4.66	0.05006	0	A_23_P116902	420	ART4
4.61	-0.097	-0.24	0.81645	0.957827	0.06	0.81645	0	NA	NA	NA
8.88	0.835	1.55	0.14395	0.593818	2.42	0.14395	0	NA	NA	NA
5.69	-0.203	-0.54	0.59963	0.886662	0.29	0.59963	0	NA	NA	NA
9.93	0.285	0.63	0.53929	0.862139	0.4	0.53929	0	NA	NA	NA
8.88	0.032	0.05	0.96169	0.991246	0	0.96169	0	A_23_P114713	1580	CYP4B1
7.42	-0.023	-0.05	0.95766	0.990939	0	0.95766	0	NA	NA	NA
5.68	0.576	1.06	0.30792	0.738052	1.13	0.30792	0	NA	NA	NA
4.35	-0.848	-1.44	0.17317	0.625618	2.08	0.17317	0	NA	NA	NA
7.57	-0.42	-1.48	0.1622	0.614932	2.2	0.1622	0	NA	NA	NA
10.12	-0.382	-1.17	0.26291	0.704602	1.37	0.26291	0	A_23_P48669	1033	CDKN3
3.84	0.301	0.76	0.46187	0.829173	0.57	0.46187	0	NA	NA	NA
3.76	-0.563	-1.59	0.13509	0.583144	2.54	0.13509	0	A_23_P71757	3443	IFNA6
3.37	0.051	0.11	0.91371	0.980239	0.01	0.91371	0	NA	NA	NA
3.95	0.526	1.37	0.19388	0.644737	1.88	0.19388	0	NA	NA	NA
3.57	0.932	2.59	0.02227	0.338208	6.73	0.02227	0	A_23_P205428	2290	FOXG1B
5.75	0.023	0.08	0.93661	0.985762	0.01	0.93661	0	NA	NA	NA
4.05	0.733	1.55	0.14458	0.594855	2.41	0.14458	0	NA	NA	NA
6.63	-0.508	-1.62	0.1291	0.575505	2.63	0.1291	0	NA	NA	NA
3.64	0.391	1.02	0.32497	0.747455	1.05	0.32497	0	NA	NA	NA
8.53	0.289	0.56	0.58646	0.880759	0.31	0.58646	0	A_23_P118392	51655	RASD1
11.97	0.145	0.44	0.6698	0.911044	0.19	0.6698	0	NA	NA	NA
2.96	-0.341	-1	0.33606	0.754833	1	0.33606	0	NA	NA	NA
12.66	-0.37	-1	0.3337	0.753136	1.01	0.3337	0	NA	NA	NA
8.19	-0.187	-0.39	0.70489	0.923321	0.15	0.70489	0	NA	NA	NA
13.16	-0.809	-2.29	0.03968	0.403541	5.22	0.03968	0	NA	NA	NA
9.61	-0.676	-2.2	0.04618	0.425906	4.86	0.04618	0	NA	NA	NA
6.41	-0.042	-0.13	0.8965	0.975922	0.02	0.8965	0	NA	NA	NA
9.32	-0.066	-0.23	0.82401	0.95983	0.05	0.82401	0	NA	NA	NA
10.74	-0.275	-0.53	0.60388	0.887444	0.28	0.60388	0	A_23_P67661	1346	COX7A1
4.21	0.66	1.31	0.21198	0.662481	1.72	0.21198	0	NA	NA	NA
11.08	-0.092	-0.34	0.73569	0.932599	0.12	0.73569	0	A_23_P391725	1810	DR1
7.93	0.118	0.41	0.68694	0.916111	0.17	0.68694	0	NA	NA	NA
11.23	0.373	0.96	0.35415	0.766445	0.92	0.35415	0	NA	NA	NA
5.28	0.332	0.94	0.36226	0.773151	0.89	0.36226	0	NA	NA	NA
11.23	-0.167	-0.55	0.59048	0.882461	0.3	0.59048	0	NA	NA	NA
7.02	-0.749	-1.26	0.22809	0.677322	1.6	0.22809	0	NA	NA	NA
11.36	0.021	0.07	0.94322	0.9873	0.01	0.94322	0	NA	NA	NA
3.24	-0.402	-1.03	0.32274	0.746159	1.06	0.32274	0	NA	NA	NA
7.66	-0.219	-0.75	0.46723	0.831913	0.56	0.46723	0	A_23_P117727	123263	MTFMT
9.54	-0.769	-1.9	0.07956	0.502134	3.62	0.07956	0	NA	NA	NA
4.13	1.013	1.54	0.14804	0.599093	2.37	0.14804	0	NA	NA	NA
9.36	-0.799	-2.84	0.01387	0.287757	8.07	0.01387	0	A_24_P944458	51141	INSIG2
3.43	0.179	0.53	0.60822	0.889443	0.28	0.60822	0	NA	NA	NA
5.7	-0.854	-2.04	0.06235	0.467848	4.16	0.06235	0	A_23_P74668	93190	C1orf158
4.07	0.263	0.73	0.47931	0.837392	0.53	0.47931	0	NA	NA	NA
7.37	-2.508	-5.48	0.00011	0.034249	29.98	0.00011	-1	NA	NA	NA
3.71	-1.134	-3.56	0.0035	0.178092	12.66	0.0035	0	NA	NA	NA
4.32	0.073	0.21	0.84022	0.963877	0.04	0.84022	0	NA	NA	NA
5.31	0	0	0.99911	0.999931	0	0.99911	0	A_23_P152949	90506	LRRC46
4.58	-0.168	-0.44	0.66682	0.910249	0.19	0.66682	0	NA	NA	NA
6.85	0.474	1.35	0.19894	0.649455	1.83	0.19894	0	NA	NA	NA
5.83	0.78	2.56	0.02384	0.346502	6.54	0.02384	0	NA	NA	NA
8.26	-0.251	-0.83	0.42374	0.808805	0.68	0.42374	0	NA	NA	NA
3.75	0.308	0.6	0.556	0.869077	0.37	0.556	0	NA	NA	NA
6.6	-0.804	-1.87	0.08411	0.511144	3.5	0.08411	0	A_23_P357860	7095	TLOC1
10.35	-0.156	-0.42	0.68413	0.915438	0.17	0.68413	0	NA	NA	NA
5.27	-0.435	-1.24	0.23847	0.685542	1.53	0.23847	0	A_23_P41942	10622	POLR3G
11.29	-0.243	-0.89	0.38762	0.788575	0.8	0.38762	0	NA	NA	NA
10.48	-0.105	-0.33	0.74726	0.937602	0.11	0.74726	0	NA	NA	NA
3.11	0	0	0.99984	0.999935	0	0.99984	0	NA	NA	NA
10.22	0.008	0.03	0.97663	0.994078	0	0.97663	0	NA	NA	NA
10.35	-0.242	-0.56	0.5877	0.881078	0.31	0.5877	0	A_23_P60499	58499	ZNF462
5.82	0.832	1.68	0.11653	0.558957	2.83	0.11653	0	NA	NA	NA
3.65	-0.549	-1.5	0.15687	0.609342	2.26	0.15687	0	NA	NA	NA
4.12	-0.446	-1.01	0.33072	0.751218	1.02	0.33072	0	NA	NA	NA
3.71	-0.782	-2.16	0.05032	0.437134	4.65	0.05032	0	NA	NA	NA
7.74	-1.021	-2.07	0.05941	0.459733	4.27	0.05941	0	NA	NA	NA
4.63	0.413	1.2	0.2532	0.697707	1.43	0.2532	0	A_23_P416191	259290	TAS2R44
9.48	-1.224	-2.15	0.05092	0.439024	4.62	0.05092	0	A_23_P14464	10640	EXOC5
6.47	0.666	1.36	0.19638	0.646307	1.85	0.19638	0	NA	NA	NA
3.82	0.245	0.58	0.57455	0.875805	0.33	0.57455	0	A_23_P430411	NA	
4.62	0.048	0.07	0.9464	0.988161	0	0.9464	0	NA	NA	NA
2.65	-0.511	-1.48	0.1626	0.615284	2.19	0.1626	0	NA	NA	NA
12.08	-0.29	-0.63	0.54081	0.863123	0.39	0.54081	0	A_32_P14744	6210	RPS15A
