probe	pvalue	adj.pvalue	symbol	probe	entrez	group
205246_at	0.41224	0.999858	PEX13	205246_at	5194	
205247_at	0.44965	0.999858	NOTCH4	205247_at	4855	
205248_at	0.28902	0.999858	DOPEY2	205248_at	9980	
205249_at	0.90924	0.999858	EGR2	205249_at	1959	
205250_s_at	0.28179	0.999858	CEP290	205250_s_at	80184	
205251_at	0.25801	0.999858	PER2	205251_at	8864	
205252_at	0.3437	0.999858	ZNF174	205252_at	7727	
205253_at	0.78554	0.999858	PBX1	205253_at	5087	
205254_x_at	0.75187	0.999858	TCF7	205254_x_at	6932	
205255_x_at	0.41104	0.999858	TCF7	205255_x_at	6932	
205256_at	0.67193	0.999858	ZBTB39	205256_at	9880	
205257_s_at	0.59483	0.999858	AMPH	205257_s_at	273	
205258_at	0.71884	0.999858	INHBB	205258_at	3625	
205260_s_at	0.63001	0.999858	ACYP1	205260_s_at	97	
205261_at	0.68873	0.999858	PGC	205261_at	5225	
205262_at	0.68046	0.999858	KCNH2	205262_at	3757	
205263_at	0.57773	0.999858	BCL10	205263_at	8915	
205264_at	0.39225	0.999858	CD3EAP	205264_at	10849	
205265_s_at	0.92181	0.999858	LOC100996693 /// SPEG	205265_s_at	NA	
205266_at	0.50034	0.999858	LIF	205266_at	3976	
205268_s_at	0.56507	0.999858	ADD2	205268_s_at	119	
205270_s_at	0.25503	0.999858	LCP2	205270_s_at	3937	
205271_s_at	0.92521	0.999858	CDK20	205271_s_at	23552	
205272_s_at	0.47686	0.999858	PRH1 /// PRH1-PRR4 /// PRH2	205272_s_at	NA	
205273_s_at	0.16791	0.999858	PITRM1	205273_s_at	10531	
205274_at	0.7825	0.999858	GTPBP1	205274_at	9567	
205275_at	0.89077	0.999858	GTPBP1	205275_at	9567	
205276_s_at	0.91263	0.999858	GTPBP1	205276_s_at	9567	
205277_at	0.84166	0.999858	PRDM2	205277_at	7799	
205279_s_at	0.81865	0.999858	GLRB	205279_s_at	2743	
205281_s_at	0.34488	0.999858	PIGA	205281_s_at	5277	
205282_at	0.97206	0.999858	LRP8	205282_at	7804	
205283_at	0.91119	0.999858	FKTN	205283_at	2218	
205284_at	0.51291	0.999858	URB2	205284_at	9816	
205285_s_at	0.89085	0.999858	FYB	205285_s_at	2533	
205286_at	0.36368	0.999858	TFAP2C	205286_at	7022	
205287_s_at	0.45248	0.999858	TFAP2C	205287_s_at	7022	
205289_at	0.57263	0.999858	BMP2	205289_at	650	
205290_s_at	0.18937	0.999858	BMP2	205290_s_at	650	
205291_at	0.04435	0.91036	IL2RB	205291_at	3560	
205292_s_at	0.56421	0.999858	HNRNPA2B1	205292_s_at	3181	
205293_x_at	0.73498	0.999858	BAIAP2	205293_x_at	10458	
205294_at	0.59673	0.999858	BAIAP2	205294_at	10458	
205295_at	0.87091	0.999858	CKMT2	205295_at	1160	
205297_s_at	0.5384	0.999858	CD79B	205297_s_at	974	
205298_s_at	0.73719	0.999858	BTN2A2	205298_s_at	10385	
205299_s_at	0.53423	0.999858	BTN2A2	205299_s_at	10385	
205300_s_at	0.68286	0.999858	SNRNP35	205300_s_at	11066	
205302_at	0.87221	0.999858	IGFBP1	205302_at	3484	
205303_at	0.98708	0.999858	KCNJ8	205303_at	3764	
205304_s_at	0.9386	0.999858	KCNJ8	205304_s_at	3764	
205305_at	0.61915	0.999858	FGL1	205305_at	2267	
205306_x_at	0.39367	0.999858	KMO	205306_x_at	8564	
205307_s_at	0.72653	0.999858	KMO	205307_s_at	8564	
205308_at	0.00071	0.158092	ZC2HC1A	205308_at	51101	
205310_at	0.90077	0.999858	FBXO46	205310_at	23403	
205311_at	0.02755	0.790479	DDC	205311_at	1644	
205312_at	0.74826	0.999858	SPI1	205312_at	6688	
205313_at	0.83442	0.999858	HNF1B	205313_at	6928	
205314_x_at	0.72994	0.999858	SNTB2	205314_x_at	6645	
205315_s_at	0.24338	0.999858	SNTB2	205315_s_at	6645	
205316_at	0.60381	0.999858	SLC15A2	205316_at	6565	
205317_s_at	0.99018	0.999858	SLC15A2	205317_s_at	6565	
205318_at	0.47037	0.999858	KIF5A	205318_at	3798	
205319_at	0.96613	0.999858	PSCA	205319_at	8000	
205320_at	0.24794	0.999858	APC2	205320_at	10297	
205321_at	0.42425	0.999858	EIF2S3	205321_at	1968	
205322_s_at	0.84979	0.999858	MTF1	205322_s_at	4520	
205323_s_at	0.51188	0.999858	MTF1	205323_s_at	4520	
205324_s_at	0.34879	0.999858	FTSJ1	205324_s_at	24140	
205325_at	0.00013	0.059603	PHYHIP	205325_at	9796	
205326_at	0.69961	0.999858	RAMP3	205326_at	10268	
205327_s_at	0.86868	0.999858	ACVR2A	205327_s_at	92	
205328_at	0.98923	0.999858	CLDN10	205328_at	9071	
205329_s_at	0.81534	0.999858	SNX4	205329_s_at	8723	
205330_at	0.96731	0.999858	MN1	205330_at	4330	
205331_s_at	0.93027	0.999858	REEP2	205331_s_at	51308	
205332_at	0.6231	0.999858	RCE1	205332_at	9986	
205333_s_at	0.87952	0.999858	RCE1	205333_s_at	9986	
205334_at	0.31213	0.999858	S100A1	205334_at	6271	
205335_s_at	0.25798	0.999858	SRP19	205335_s_at	6728	
205336_at	0.91667	0.999858	PVALB	205336_at	5816	
205338_s_at	0.46208	0.999858	DCT	205338_s_at	1638	
205339_at	0.2291	0.999858	STIL	205339_at	6491	
205340_at	0.4239	0.999858	ZBTB24	205340_at	9841	
205341_at	0.87578	0.999858	EHD2	205341_at	30846	
205342_s_at	0.961	0.999858	SULT1C2	205342_s_at	6819	
205343_at	0.74979	0.999858	SULT1C2	205343_at	6819	
205344_at	0.42728	0.999858	CSPG5	205344_at	10675	
205345_at	0.6057	0.999858	BARD1	205345_at	580	
205346_at	0.96168	0.999858	ST3GAL2	205346_at	6483	
205347_s_at	0.96911	0.999858	TMSB15A /// TMSB15B	205347_s_at	NA	
205348_s_at	0.42382	0.999858	DYNC1I1	205348_s_at	1780	
205349_at	0.42596	0.999858	GNA15	205349_at	2769	
205350_at	0.91187	0.999858	CRABP1	205350_at	1381	
205351_at	0.74625	0.999858	GGCX	205351_at	2677	
205352_at	0.0936	0.999858	SERPINI1	205352_at	5274	
205353_s_at	0.35371	0.999858	PEBP1	205353_s_at	5037	
205354_at	0.1453	0.999858	GAMT	205354_at	2593	
205356_at	0.42636	0.999858	USP13	205356_at	8975	
205357_s_at	0.1904	0.999858	AGTR1	205357_s_at	185	
205359_at	0.75226	0.999858	AKAP6	205359_at	9472	
205360_at	0.37785	0.999858	PFDN4	205360_at	5203	
205361_s_at	0.15425	0.999858	PFDN4	205361_s_at	5203	
205364_at	0.83733	0.999858	ACOX2	205364_at	8309	
205365_at	0.54032	0.999858	HOXB6	205365_at	3216	
205366_s_at	0.39685	0.999858	HOXB6	205366_s_at	3216	
205367_at	0.89883	0.999858	SH2B2	205367_at	10603	
205369_x_at	0.98757	0.999858	DBT	205369_x_at	1629	
205370_x_at	0.70573	0.999858	DBT	205370_x_at	1629	
205372_at	0.1572	0.999858	PLAG1	205372_at	5324	
205373_at	0.82306	0.999858	CTNNA2	205373_at	1496	
205374_at	0.57852	0.999858	SLN	205374_at	6588	
205375_at	0.99886	0.999858	MDFI	205375_at	4188	
205377_s_at	0.98153	0.999858	ACHE	205377_s_at	43	
205379_at	0.78991	0.999858	CBR3	205379_at	874	
205380_at	0.48418	0.999858	PDZK1	205380_at	5174	
205381_at	0.71613	0.999858	LRRC17	205381_at	10234	
205382_s_at	0.1727	0.999858	CFD	205382_s_at	1675	
205383_s_at	0.40581	0.999858	ZBTB20	205383_s_at	26137	
205384_at	0.04857	0.932961	FXYD1	205384_at	5348	
205385_at	0.60591	0.999858	MDM2	205385_at	4193	
205387_s_at	7.00E-05	0.038927	CGB /// CGB1 /// CGB5 /// CGB7 /// CGB8	205387_s_at	NA	
205388_at	0.98187	0.999858	TNNC2	205388_at	7125	
205390_s_at	0.89434	0.999858	ANK1	205390_s_at	286	
205391_x_at	0.63359	0.999858	ANK1	205391_x_at	286	
205392_s_at	0.42714	0.999858	CCL14 /// CCL15-CCL14	205392_s_at	NA	
205395_s_at	0.03545	0.854861	MRE11A	205395_s_at	NA	
205396_at	0.09882	0.999858	SMAD3	205396_at	4088	
205397_x_at	0.1649	0.999858	SMAD3	205397_x_at	4088	
205398_s_at	0.01446	0.654914	SMAD3	205398_s_at	4088	
205400_at	0.84641	0.999858	WAS	205400_at	7454	
205401_at	0.71375	0.999858	AGPS	205401_at	8540	
205402_x_at	0.67081	0.999858	PRSS2	205402_x_at	5645	
205403_at	0.08357	0.999858	IL1R2	205403_at	7850	
205404_at	0.42171	0.999858	HSD11B1	205404_at	3290	
205405_at	0.19989	0.999858	SEMA5A	205405_at	9037	
205406_s_at	0.66014	0.999858	SPA17	205406_s_at	53340	
205407_at	0.02043	0.732472	RECK	205407_at	8434	
205408_at	0.18282	0.999858	MLLT10	205408_at	8028	
205409_at	0.48658	0.999858	FOSL2	205409_at	2355	
205410_s_at	0.35087	0.999858	ATP2B4	205410_s_at	493	
205412_at	0.43649	0.999858	ACAT1	205412_at	38	
205414_s_at	0.42077	0.999858	ARHGAP44	205414_s_at	9912	
205416_s_at	0.69908	0.999858	ATXN3	205416_s_at	4287	
205417_s_at	0.74661	0.999858	DAG1	205417_s_at	1605	
205418_at	0.39157	0.999858	FES	205418_at	2242	
205419_at	0.87793	0.999858	GPR183	205419_at	1880	
205421_at	0.20419	0.999858	SLC22A3	205421_at	6581	
205423_at	0.49092	0.999858	AP1B1	205423_at	162	
205424_at	0.28731	0.999858	TBKBP1	205424_at	9755	
205425_at	0.61509	0.999858	HIP1	205425_at	3092	
205426_s_at	0.7283	0.999858	HIP1	205426_s_at	3092	
205427_at	0.17208	0.999858	ZNF354A	205427_at	6940	
205428_s_at	0.82341	0.999858	CALB2	205428_s_at	794	
205430_at	0.18103	0.999858	BMP5	205430_at	653	
205431_s_at	0.39724	0.999858	BMP5	205431_s_at	653	
205432_at	0.63822	0.999858	OVGP1	205432_at	5016	
205434_s_at	0.93227	0.999858	AAK1	205434_s_at	22848	
205435_s_at	0.71291	0.999858	AAK1	205435_s_at	22848	
205436_s_at	0.20261	0.999858	H2AFX	205436_s_at	3014	
205437_at	0.10019	0.999858	ZNF211	205437_at	10520	
205438_at	0.11973	0.999858	PTPN21	205438_at	11099	
205439_at	0.87842	0.999858	GSTT2	205439_at	2953	
205441_at	0.22625	0.999858	OCEL1	205441_at	79629	
205442_at	0.18813	0.999858	LOC101928198 /// MFAP3L	205442_at	NA	
205444_at	0.40161	0.999858	ATP2A1	205444_at	487	
205445_at	0.1535	0.999858	PRL	205445_at	5617	
205446_s_at	0.91538	0.999858	ATF2	205446_s_at	1386	
205447_s_at	0.93758	0.999858	MAP3K12	205447_s_at	7786	
205448_s_at	0.18241	0.999858	MAP3K12	205448_s_at	7786	
205449_at	0.31241	0.999858	SAC3D1	205449_at	29901	
205450_at	0.41967	0.999858	PHKA1	205450_at	5255	
205451_at	0.81397	0.999858	FOXO4	205451_at	4303	
205452_at	0.16316	0.999858	PIGB	205452_at	9488	
205453_at	0.07123	0.999858	HOXB2	205453_at	3212	
205454_at	0.36604	0.999858	HPCA	205454_at	3208	
205455_at	0.68625	0.999858	MST1R	205455_at	4486	
205456_at	0.8674	0.999858	CD3E	205456_at	916	
205457_at	0.67087	0.999858	C6orf106	205457_at	64771	
205458_at	0.63757	0.999858	MC1R	205458_at	4157	
205459_s_at	0.10353	0.999858	NPAS2	205459_s_at	4862	
205460_at	0.24065	0.999858	NPAS2	205460_at	4862	
205462_s_at	0.5993	0.999858	HPCAL1	205462_s_at	3241	
205463_s_at	0.37636	0.999858	PDGFA	205463_s_at	5154	
205464_at	0.9347	0.999858	SCNN1B	205464_at	6338	
205465_x_at	0.87984	0.999858	HS3ST1	205465_x_at	9957	
205467_at	0.82953	0.999858	CASP10	205467_at	843	
205468_s_at	0.86859	0.999858	IRF5	205468_s_at	3663	
205469_s_at	0.45282	0.999858	IRF5	205469_s_at	3663	
205470_s_at	0.82518	0.999858	KLK11	205470_s_at	11012	
205471_s_at	0.53912	0.999858	DACH1	205471_s_at	1602	
205473_at	0.1347	0.999858	ATP6V1B1	205473_at	525	
205474_at	0.10024	0.999858	CRLF3	205474_at	51379	
205475_at	0.48373	0.999858	SCRG1	205475_at	11341	
205477_s_at	0.79094	0.999858	AMBP	205477_s_at	259	
205478_at	0.90766	0.999858	PPP1R1A	205478_at	5502	
205479_s_at	0.11796	0.999858	PLAU	205479_s_at	5328	
205480_s_at	0.2723	0.999858	UGP2	205480_s_at	7360	
205481_at	0.02837	0.796274	ADORA1	205481_at	134	
205482_x_at	0.94904	0.999858	SNX15	205482_x_at	29907	
205483_s_at	0.34285	0.999858	ISG15	205483_s_at	9636	
205484_at	0.99692	0.999858	SIT1	205484_at	27240	
205486_at	0.01429	0.65331	TESK2	205486_at	10420	
205487_s_at	0.66162	0.999858	VGLL1	205487_s_at	51442	
205488_at	0.6465	0.999858	GZMA	205488_at	3001	
205489_at	0.57039	0.999858	CRYM	205489_at	1428	
205490_x_at	0.43151	0.999858	GJB3	205490_x_at	2707	
205491_s_at	0.68708	0.999858	GJB3	205491_s_at	2707	
205492_s_at	0.73828	0.999858	DPYSL4	205492_s_at	10570	
205494_at	0.59798	0.999858	ZNF821	205494_at	55565	
205495_s_at	0.81857	0.999858	GNLY	205495_s_at	10578	
205497_at	0.16657	0.999858	ZNF175	205497_at	7728	
205498_at	0.00346	0.336943	GHR	205498_at	2690	
205499_at	0.06432	0.986101	SRPX2	205499_at	27286	
205500_at	0.89121	0.999858	C5	205500_at	727	
205501_at	0.01466	0.656977	PDE10A	205501_at	10846	
205502_at	0.79819	0.999858	CYP17A1	205502_at	1586	
205503_at	0.64276	0.999858	PTPN14	205503_at	5784	
205504_at	0.80033	0.999858	BTK	205504_at	695	
205505_at	0.16909	0.999858	GCNT1	205505_at	2650	
205506_at	0.74373	0.999858	VIL1	205506_at	7429	
205507_at	0.05365	0.954771	ARHGEF15	205507_at	22899	
205508_at	0.96897	0.999858	SCN1B	205508_at	6324	
205509_at	0.8984	0.999858	CPB1	205509_at	1360	
205510_s_at	0.74499	0.999858	FLJ10038	205510_s_at	55056	
205512_s_at	0.12282	0.999858	AIFM1	205512_s_at	9131	
205513_at	0.86968	0.999858	TCN1	205513_at	6947	
205514_at	0.24021	0.999858	ZNF415	205514_at	55786	
205515_at	0.36369	0.999858	PRSS12	205515_at	8492	
205516_x_at	0.72811	0.999858	CIZ1	205516_x_at	25792	
205517_at	0.21057	0.999858	GATA4	205517_at	2626	
205518_s_at	0.7566	0.999858	CMAHP	205518_s_at	8418	
205520_at	0.62189	0.999858	STRN	205520_at	6801	
205521_at	0.81793	0.999858	EXOG	205521_at	9941	
205522_at	0.96725	0.999858		205522_at	NA	
205523_at	0.05811	0.9646	HAPLN1	205523_at	1404	
205524_s_at	0.0126	0.631897	HAPLN1	205524_s_at	1404	
205525_at	0.12053	0.999858	CALD1	205525_at	800	
205526_s_at	0.58179	0.999858	KATNA1	205526_s_at	11104	
205527_s_at	0.80297	0.999858	GEMIN4	205527_s_at	50628	
205529_s_at	0.67071	0.999858	RUNX1T1	205529_s_at	862	
205530_at	0.59799	0.999858	ETFDH	205530_at	2110	
205534_at	0.96388	0.999858	PCDH7	205534_at	5099	
205536_at	0.79157	0.999858	VAV2	205536_at	7410	
205537_s_at	0.50607	0.999858	VAV2	205537_s_at	7410	
205538_at	0.36117	0.999858	CORO2A	205538_at	7464	
205539_at	0.85789	0.999858	AVIL	205539_at	10677	
205541_s_at	0.75316	0.999858	GSPT2	205541_s_at	23708	
205542_at	0.69061	0.999858	STEAP1	205542_at	26872	
205544_s_at	0.92331	0.999858	CR2	205544_s_at	1380	
205545_x_at	0.66205	0.999858	DNAJC8	205545_x_at	22826	
205546_s_at	0.61423	0.999858	TYK2	205546_s_at	7297	
205547_s_at	0.88446	0.999858	TAGLN	205547_s_at	6876	
205548_s_at	0.02113	0.734168	BTG3	205548_s_at	10950	
205549_at	0.37257	0.999858	PCP4	205549_at	5121	
205550_s_at	0.45732	0.999858	BRE	205550_s_at	9577	
205551_at	0.14489	0.999858	SV2B	205551_at	9899	
205552_s_at	0.47145	0.999858	OAS1	205552_s_at	4938	
205554_s_at	0.32442	0.999858	DNASE1L3	205554_s_at	1776	
205555_s_at	0.11402	0.999858	MSX2	205555_s_at	4488	
205557_at	0.72214	0.999858	BPI /// LOC149684	205557_at	NA	
205558_at	0.80934	0.999858	TRAF6	205558_at	7189	
205559_s_at	0.49325	0.999858	PCSK5	205559_s_at	5125	
205561_at	0.39401	0.999858	KCTD17	205561_at	79734	
205562_at	0.13521	0.999858	RPP38	205562_at	10557	
205563_at	0.25196	0.999858	KISS1	205563_at	3814	
205564_at	0.01221	0.631897	PAGE4	205564_at	9506	
205565_s_at	0.34367	0.999858	FXN	205565_s_at	2395	
205566_at	0.46795	0.999858	ABHD2	205566_at	11057	
205567_at	0.52288	0.999858	CHST1	205567_at	8534	
205568_at	0.40869	0.999858	AQP9	205568_at	366	
205569_at	0.96909	0.999858	LAMP3	205569_at	27074	
205570_at	0.43345	0.999858	PIP4K2A	205570_at	5305	
205571_at	0.85458	0.999858	LIPT1	205571_at	51601	
205572_at	0.37769	0.999858	ANGPT2	205572_at	285	
205573_s_at	0.83531	0.999858	SNX7	205573_s_at	51375	
205574_x_at	0.03218	0.825321	BMP1	205574_x_at	649	
205575_at	0.60782	0.999858	C1QL1	205575_at	10882	
205576_at	0.81342	0.999858	SERPIND1	205576_at	3053	
205577_at	0.27087	0.999858	PYGM	205577_at	5837	
205579_at	0.91189	0.999858	HRH1	205579_at	3269	
205580_s_at	0.7791	0.999858	HRH1	205580_s_at	3269	
205581_s_at	0.13515	0.999858	NOS3	205581_s_at	4846	
205582_s_at	0.83944	0.999858	GGT5	205582_s_at	2687	
205583_s_at	0.32119	0.999858	ALG13	205583_s_at	79868	
205584_at	0.3638	0.999858	ALG13	205584_at	79868	
205585_at	0.90393	0.999858	ETV6	205585_at	2120	
205586_x_at	0.65904	0.999858	VGF	205586_x_at	7425	
205587_at	0.6635	0.999858	FGFR1OP	205587_at	11116	
205588_s_at	0.58905	0.999858	FGFR1OP	205588_s_at	11116	
205589_at	0.31325	0.999858	MYL3	205589_at	4634	
205590_at	0.30849	0.999858	RASGRP1	205590_at	10125	
205592_at	0.99955	0.999858	SLC4A1	205592_at	6521	
205593_s_at	0.15252	0.999858	PDE9A	205593_s_at	5152	
205594_at	0.98458	0.999858	ZNF652	205594_at	22834	
205595_at	0.81812	0.999858	DSG3	205595_at	1830	
205596_s_at	0.33912	0.999858	SMURF2	205596_s_at	64750	
205597_at	0.81439	0.999858	SLC44A4	205597_at	80736	
205598_at	0.24869	0.999858	TRAIP	205598_at	10293	
205599_at	0.7875	0.999858	TRAF1	205599_at	7185	
205600_x_at	0.64019	0.999858	HOXB5	205600_x_at	3215	
205601_s_at	0.31362	0.999858	HOXB5	205601_s_at	3215	
205602_x_at	0.20765	0.999858	PSG7	205602_x_at	5676	
205603_s_at	0.24747	0.999858	DIAPH2	205603_s_at	1730	
205604_at	0.93481	0.999858	HOXD9	205604_at	3235	
205605_at	0.52729	0.999858	HOXD9	205605_at	3235	
205606_at	0.70334	0.999858	LRP6	205606_at	4040	
205607_s_at	0.34434	0.999858	SCYL3	205607_s_at	57147	
205608_s_at	0.68382	0.999858	ANGPT1	205608_s_at	284	
205609_at	0.9529	0.999858	ANGPT1	205609_at	284	
205610_at	0.41033	0.999858	MYOM1	205610_at	8736	
205611_at	0.92858	0.999858	TNFSF12 /// TNFSF12-TNFSF13	205611_at	NA	
205613_at	0.26955	0.999858	SYT17	205613_at	51760	
205614_x_at	0.03548	0.854861	MST1	205614_x_at	4485	
205616_at	0.55083	0.999858	GALNT8 /// KCNA6	205616_at	NA	
205617_at	0.60518	0.999858	PRRG2	205617_at	5639	
205618_at	0.00211	0.266199	PRRG1	205618_at	5638	
205620_at	0.79007	0.999858	F10	205620_at	2159	
205621_at	0.77322	0.999858	ALKBH1	205621_at	8846	
205622_at	0.4189	0.999858	SMPD2	205622_at	6610	
205623_at	0.87744	0.999858	ALDH3A1	205623_at	218	
205624_at	0.89157	0.999858	CPA3	205624_at	1359	
205625_s_at	0.21134	0.999858	CALB1	205625_s_at	793	
205627_at	0.56779	0.999858	CDA	205627_at	978	
205629_s_at	0	0.002618	CRH	205629_s_at	1392	
205630_at	1.00E-05	0.012443	CRH	205630_at	1392	
205631_at	0.82	0.999858	KIAA0586	205631_at	9786	
205632_s_at	0.67703	0.999858	PIP5K1B	205632_s_at	8395	
205633_s_at	0.42358	0.999858	ALAS1	205633_s_at	211	
205634_x_at	0.12333	0.999858	ZDHHC24	205634_x_at	254359	
205635_at	0.80285	0.999858	KALRN	205635_at	8997	
205636_at	0.86134	0.999858	SH3GL3	205636_at	6457	
205637_s_at	0.50858	0.999858	SH3GL3	205637_s_at	6457	
205639_at	0.69955	0.999858	AOAH	205639_at	313	
205640_at	0.66901	0.999858	ALDH3B1	205640_at	221	
205641_s_at	0.61386	0.999858	TRADD	205641_s_at	8717	
205642_at	0.74134	0.999858	CNTRL	205642_at	11064	
205643_s_at	0.47222	0.999858	PPP2R2B	205643_s_at	5521	
205644_s_at	0.78618	0.999858	SNRPG	205644_s_at	6637	
205645_at	0.90124	0.999858	REPS2	205645_at	9185	
205646_s_at	0.22752	0.999858	PAX6	205646_s_at	5080	
205647_at	0.46857	0.999858	RAD52	205647_at	5893	
205648_at	0.05638	0.957116	WNT2	205648_at	7472	
205650_s_at	0.83003	0.999858	FGA	205650_s_at	2243	
205652_s_at	0.10718	0.999858	TTLL1	205652_s_at	25809	
205653_at	0.65076	0.999858	CTSG	205653_at	1511	
205654_at	0.68855	0.999858	C4BPA	205654_at	722	
205656_at	0.55805	0.999858	PCDH17	205656_at	27253	
205657_at	0.621	0.999858	HAAO	205657_at	23498	
205658_s_at	0.59475	0.999858	SNAPC4	205658_s_at	6621	
205659_at	0.77839	0.999858	HDAC9	205659_at	9734	
205660_at	0.14839	0.999858	OASL	205660_at	8638	
205661_s_at	0.47678	0.999858	FLAD1	205661_s_at	80308	
205662_at	0.52443	0.999858	B9D1	205662_at	27077	
205663_at	0.4417	0.999858	PCBP3	205663_at	54039	
205664_at	0.22184	0.999858	KIN	205664_at	22944	
205665_at	0.69743	0.999858	TSPAN9	205665_at	10867	
205666_at	0.98141	0.999858	FMO1	205666_at	2326	
205667_at	0.61309	0.999858	WRN	205667_at	7486	
205671_s_at	0.98348	0.999858	HLA-DOB	205671_s_at	3112	
205672_at	0.55721	0.999858	XPA	205672_at	7507	
205673_s_at	0.92194	0.999858	ASB9	205673_s_at	140462	
205674_x_at	0.5422	0.999858	FXYD2	205674_x_at	486	
205675_at	0.36516	0.999858	MTTP	205675_at	4547	
205676_at	0.83212	0.999858	CYP27B1	205676_at	1594	
205677_s_at	0.46034	0.999858	DLEU1	205677_s_at	10301	
205678_at	0.3768	0.999858	AP3B2	205678_at	8120	
205679_x_at	0.5372	0.999858	ACAN	205679_x_at	176	
205682_x_at	0.58595	0.999858	APOM	205682_x_at	55937	
205683_x_at	0.4633	0.999858	TPSAB1	205683_x_at	7177	
205684_s_at	0.1086	0.999858	DENND4C	205684_s_at	55667	
205685_at	0.22511	0.999858	CD86	205685_at	942	
205686_s_at	0.25872	0.999858	CD86	205686_s_at	942	
205687_at	0.68813	0.999858	UBFD1	205687_at	56061	
205688_at	0.9383	0.999858	TFAP4	205688_at	7023	
205689_at	0.31849	0.999858	PCNXL2	205689_at	NA	
205690_s_at	0.87048	0.999858	BUD31	205690_s_at	8896	
205691_at	0.69879	0.999858	SYNGR3	205691_at	9143	
205692_s_at	0.0403	0.886533	CD38	205692_s_at	952	
205693_at	0.0875	0.999858	TNNT3	205693_at	7140	
205695_at	0.97347	0.999858	SDS	205695_at	10993	
205697_at	0.48087	0.999858	SCGN	205697_at	10590	
205698_s_at	0.24244	0.999858	MAP2K6	205698_s_at	5608	
205700_at	0.61532	0.999858	HSD17B6	205700_at	8630	
205701_at	0.97468	0.999858	IPO8	205701_at	10526	
205702_at	0.04932	0.936626	PHTF1	205702_at	10745	
205704_s_at	0.77714	0.999858	ATP6V0A2	205704_s_at	23545	
205705_at	0.5994	0.999858	ANKRD26	205705_at	22852	
205706_s_at	0.67021	0.999858	ANKRD26	205706_s_at	22852	
205707_at	0.95497	0.999858	IL17RA	205707_at	23765	
205708_s_at	0.85991	0.999858	TRPM2	205708_s_at	7226	
205709_s_at	0.30389	0.999858	CDS1	205709_s_at	1040	
205710_at	0.86762	0.999858	LRP2	205710_at	4036	
205711_x_at	0.49309	0.999858	ATP5C1	205711_x_at	509	
205712_at	0.56967	0.999858	PTPRD	205712_at	5789	
205713_s_at	0.75429	0.999858	COMP	205713_s_at	1311	
205714_s_at	0.27952	0.999858	ZMYND10	205714_s_at	51364	
205715_at	0.08089	0.999858	BST1	205715_at	683	
205716_at	0.38791	0.999858	SLC25A40	205716_at	55972	
205717_x_at	0.76437	0.999858	PCDHGA1 /// PCDHGA10 /// PCDHGA11 /// PCDHGA12 /// PCDHGA2 /// PCDHGA3 /// PCDHGA4 /// PCDHGA5 /// PCDHGA6 /// PCDHGA7 /// PCDHGA8 /// PCDHGA9 /// PCDHGB1 /// PCDHGB2 /// PCDHGB3 /// PCDHGB4 /// PCDHGB5 /// PCDHGB6 /// PCDHGB7 /// PCDHGC3 /// PCDHGC4 /// PCDHGC5	205717_x_at	NA	
205718_at	0.1839	0.999858	ITGB7	205718_at	3695	
205720_at	0.32939	0.999858	POMC	205720_at	5443	
205721_at	0.88911	0.999858	GFRA2	205721_at	2675	
205723_at	0.55429	0.999858	CNTFR	205723_at	1271	
205724_at	0.66377	0.999858	PKP1	205724_at	5317	
205725_at	0.59051	0.999858	SCGB1A1	205725_at	7356	
205726_at	0.56274	0.999858	DIAPH2	205726_at	1730	
205729_at	0.04864	0.933335	OSMR	205729_at	9180	
205730_s_at	0.36382	0.999858	ABLIM3	205730_s_at	22885	
205731_s_at	0.75319	0.999858	NCOA2	205731_s_at	10499	
205732_s_at	0.7653	0.999858	NCOA2	205732_s_at	10499	
205733_at	0.92761	0.999858	BLM	205733_at	641	
205737_at	0.47553	0.999858	KCNQ2	205737_at	3785	
205738_s_at	0.20072	0.999858	FABP3	205738_s_at	2170	
205740_s_at	0.87021	0.999858	RBM42	205740_s_at	79171	
205741_s_at	0.76891	0.999858	DTNA	205741_s_at	1837	
205742_at	0.46962	0.999858	TNNI3	205742_at	7137	
205743_at	0.73852	0.999858	STAC	205743_at	6769	
205744_at	0.43363	0.999858	DOC2A	205744_at	8448	
205745_x_at	0.07997	0.999858	ADAM17	205745_x_at	6868	
205746_s_at	0.63111	0.999858	ADAM17	205746_s_at	6868	
205747_at	0.7348	0.999858	CBLN1	205747_at	869	
205748_s_at	0.91097	0.999858	RNF126	205748_s_at	55658	
205749_at	0.19997	0.999858	CYP1A1	205749_at	1543	
205750_at	0.79422	0.999858	BPHL	205750_at	670	
205752_s_at	0.52462	0.999858	GSTM5	205752_s_at	2949	
205753_at	0.585	0.999858	CRP	205753_at	1401	
205754_at	0.9694	0.999858	F2	205754_at	2147	
205755_at	0.58608	0.999858	ITIH3	205755_at	3699	
205756_s_at	0.09526	0.999858	F8	205756_s_at	2157	
205758_at	0.41416	0.999858	CD8A	205758_at	925	
205759_s_at	0.94072	0.999858	SULT2B1	205759_s_at	6820	
205760_s_at	0.54646	0.999858	OGG1	205760_s_at	4968	
205761_s_at	0.31713	0.999858	DUS4L	205761_s_at	11062	
205763_s_at	0.72258	0.999858	DDX18	205763_s_at	8886	
205766_at	0.68154	0.999858	TCAP	205766_at	8557	
